State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MI,Michigan,04/01/2020,Y,U,Y,66163,,N/A,,66163,,72836,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1964,,74800,,957874,Does Not Include All Full-Benefit Child Medicaid enrollees,2392157,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2325994,Does Not Include All Full-Benefit Medicaid enrollees,66163,
OH,Ohio,04/01/2020,Y,U,Y,83602,Includes Renewals and/or Redeterminations,N/A,,83602,Includes Renewals and/or Redeterminations,94701,Includes CHIP; Includes Renewals and/or Redeterminations,4802,,99503,Includes Renewals and/or Redeterminations,1184214,,2701204,,38.4199,-117.1219,"(38.4199, -117.1219)",2500525,,200679,
NJ,New Jersey,04/01/2020,Y,U,Y,32232,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,32232,Does Not Include All Non-MAGI Applications,21165,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,4706,,25871,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,820990,,1732647,,41.1289,-98.2883,"(41.1289, -98.2883)",1495540,,237107,
IN,Indiana,04/01/2020,Y,U,Y,76583,,N/A,,76583,,40239,,2398,,42637,,833256,,1561429,,40.3363,-89.0022,"(40.3363, -89.0022)",1441454,,119975,
MA,Massachusetts,04/01/2020,Y,U,Y,8344,,4774,,13118,,9546,,761,,10307,,675242,,1593701,,31.1801,-91.8749,"(31.1801, -91.8749)",1407388,,186313,
NE,Nebraska,04/01/2020,N,U,Y,5423,,N/A,,5423,,7283,,927,,8210,,165466,,249575,,35.6411,-79.8431,"(35.6411, -79.8431)",215212,,34363,
IA,Iowa,04/01/2020,Y,U,Y,10404,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,10404,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,13705,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,2143,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,15848,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,341135,,686819,,21.1098,-157.5311,"(21.1098, -157.5311)",605295,,81524,
TX,Texas,04/01/2020,N,U,Y,149818,,N/A,,149818,,90192,,9796,,99988,,3382891,,4309314,,33.8191,-80.9066,"(33.8191, -80.9066)",3728028,,581286,
SD,South Dakota,04/01/2020,N,U,Y,4541,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,4541,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,2271,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",2271,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78575,,110561,,18.2766,-66.335,"(18.2766, -66.335)",95048,,15513,
MN,Minnesota,04/01/2020,Y,U,Y,4235,,23415,,27650,,15157,,42,,15199,,538360,,1067455,,43.3504,-84.5603,"(43.3504, -84.5603)",1065889,,1566,
AR,Arkansas,04/01/2020,Y,U,Y,17649,,N/A,,17649,,13460,,845,,14305,,373480,,813734,,34.9513,-92.3809,"(34.9513, -92.3809)",779597,,34137,
RI,Rhode Island,04/01/2020,Y,U,Y,2026,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2026,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2547,,143,,2690,,117251,,299750,,44.5672,-122.1269,"(44.5672, -122.1269)",269345,,30405,
KS,Kansas,04/01/2020,N,U,Y,,,N/A,,,,,,,,,,270855,,388818,,39.8647,-86.2604,"(39.8647, -86.2604)",326691,,62127,
AK,Alaska,04/01/2020,Y,U,Y,3041,Includes Renewals and/or Redeterminations,N/A,,3041,Includes Renewals and/or Redeterminations,3439,Includes Renewals and/or Redeterminations; Includes CHIP,184,,3623,Includes Renewals and/or Redeterminations,99035,,228270,,61.385,-152.2683,"(61.385, -152.2683)",212183,,16087,
NM,New Mexico,04/01/2020,Y,U,Y,14961,,N/A,,14961,,17410,,1150,,18560,,332532,Includes Limited-Benefit Enrollees,752736,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",715720,Includes Limited-Benefit Enrollees,37016,
UT,Utah,04/01/2020,N,U,Y,21256,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,21256,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",47240,Includes CHIP,,,47240,,189854,,327216,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",286314,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,40902,
WA,Washington,04/01/2020,Y,U,Y,127059,,76231,,203290,,177771,,1167,,178938,,825763,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1745789,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1674713,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),71076,
ID,Idaho,04/01/2020,Y,U,Y,10274,,,,10274,,13957,,666,,14623,,179778,,332920,,42.0046,-93.214,"(42.0046, -93.214)",305509,,27411,
TN,Tennessee,04/01/2020,N,U,Y,24800,,N/A,,24800,,15707,,1999,,17706,,829439,,1464181,,41.6772,-71.5101,"(41.6772, -71.5101)",1341581,,122600,
NV,Nevada,04/01/2020,Y,U,Y,24392,Includes Renewals/Or redeterminations,N/A,,24392,Includes Renewals/Or redeterminations,17067,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",68,,17135,,300950,,651890,,40.314,-74.5089,"(40.314, -74.5089)",611600,,40290,
IL,Illinois,04/01/2020,Y,U,Y,122039,,N/A,,122039,,48566,,11591,,60157,,1361839,,2930332,,44.2394,-114.5103,"(44.2394, -114.5103)",2649204,,281128,
LA,Louisiana,04/01/2020,Y,U,Y,28311,,N/A,,28311,,24056,,1329,,25385,,727484,,1545875,,37.669,-84.6514,"(37.669, -84.6514)",1418602,,127273,
ND,North Dakota,04/01/2020,Y,U,Y,2428,,N/A,,2428,,2710,,75,,2785,,44044,,92690,,46.9048,-110.3261,"(46.9048, -110.3261)",90377,,2313,
NY,New York,04/01/2020,Y,U,Y,,,888322,Includes Renewals and/or Redeterminations,888322,Includes Renewals and/or Redeterminations,136141,Includes Renewals and/or Redeterminations,7517,Includes Renewals and/or Redeterminations,143658,Includes Renewals and/or Redeterminations,2399006,,6022413,,34.8375,-106.2371,"(34.8375, -106.2371)",5398698,,623715,
OR,Oregon,04/01/2020,Y,U,Y,11974,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11974,Does Not Include All Non-MAGI Applications,29652,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2404,,32056,Does Not Include All Non-MAGI Determinations Made At Application,422548,,1029603,,40.3736,-82.7755,"(40.3736, -82.7755)",899318,,130285,
