State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
SC,South Carolina,06/01/2020,N,U,Y,17768,,N/A,,17768,,5574,Does not Include All Medicaid Determinations made at Applications,197,Does not Include All CHIP Determinations made at Applications,5771,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,652537,,1048276,,40.5773,-77.264,"(40.5773, -77.264)",952446,,95830,
MA,Massachusetts,06/01/2020,Y,U,Y,8454,,4012,,12466,,8423,,787,,9210,,683108,,1624309,,31.1801,-91.8749,"(31.1801, -91.8749)",1435296,,189013,
NM,New Mexico,06/01/2020,Y,U,Y,10769,,N/A,,10769,,11405,,1350,,12755,,337088,Includes Limited-Benefit Enrollees,772102,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",734272,Includes Limited-Benefit Enrollees,37830,
UT,Utah,06/01/2020,N,U,Y,17814,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17814,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39500,Includes CHIP,,,39500,,196526,,341920,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",300902,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41018,
IA,Iowa,06/01/2020,Y,U,Y,9992,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,9992,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,9656,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,1544,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,11200,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,346115,,702567,,21.1098,-157.5311,"(21.1098, -157.5311)",621701,,80866,
NC,North Carolina,06/01/2020,N,U,Y,22878,,N/A,,22878,,27895,,2453,,30348,,1229381,,1878507,,32.7673,-89.6812,"(32.7673, -89.6812)",1588396,,290111,
OH,Ohio,06/01/2020,Y,U,Y,58892,Includes Renewals and/or Redeterminations,N/A,,58892,Includes Renewals and/or Redeterminations,44381,Includes CHIP; Includes Renewals and/or Redeterminations,2370,,46751,Includes Renewals and/or Redeterminations,1209081,,2788134,,38.4199,-117.1219,"(38.4199, -117.1219)",2593402,,194732,
TX,Texas,06/01/2020,N,U,Y,108723,,N/A,,108723,,52952,,8870,,61822,,3503866,,4472519,,33.8191,-80.9066,"(33.8191, -80.9066)",3901744,,570775,
NY,New York,06/01/2020,Y,U,Y,,,643760,Includes Renewals and/or Redeterminations,643760,Includes Renewals and/or Redeterminations,131265,Includes Renewals and/or Redeterminations,9396,Includes Renewals and/or Redeterminations,140661,Includes Renewals and/or Redeterminations,2444234,,6279719,,34.8375,-106.2371,"(34.8375, -106.2371)",5664944,,614775,
AK,Alaska,06/01/2020,Y,U,Y,2844,Includes Renewals and/or Redeterminations,N/A,,2844,Includes Renewals and/or Redeterminations,3238,Includes Renewals and/or Redeterminations; Includes CHIP,231,,3469,Includes Renewals and/or Redeterminations,98792,,232069,,61.385,-152.2683,"(61.385, -152.2683)",217484,,14585,
