State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
GA,Georgia,06/01/2019,N,U,Y,41789,,N/A,,41789,,22981,,729,,23710,,1263951,,1841182,,27.8333,-81.717,"(27.8333, -81.717)",1631816,,209366,
ME,Maine,06/01/2019,Y,U,Y,6582,,N/A,,6582,,11653,,612,,12265,,105935,,226127,,39.0724,-76.7902,"(39.0724, -76.7902)",214911,,11216,
TX,Texas,06/01/2019,N,U,Y,130459,,N/A,,130459,,112585,,17293,,129878,,3303909,,4200139,,33.8191,-80.9066,"(33.8191, -80.9066)",3620423,,579716,
NJ,New Jersey,06/01/2019,Y,U,Y,34382,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,34382,Does Not Include All Non-MAGI Applications,14468,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,6027,,20495,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,824387,,1727705,,41.1289,-98.2883,"(41.1289, -98.2883)",1504733,,222972,
MI,Michigan,06/01/2019,Y,U,Y,54431,,N/A,,54431,,49624,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1735,,51359,,936814,Does Not Include All Full-Benefit Child Medicaid enrollees,2305833,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2244066,Does Not Include All Full-Benefit Medicaid enrollees,61767,
NY,New York,06/01/2019,Y,U,Y,,,883747,,883747,,118012,,7963,,125975,,2424546,,6083528,,34.8375,-106.2371,"(34.8375, -106.2371)",5495324,,588204,
DE,Delaware,06/01/2019,Y,U,Y,2572,,N/A,,2572,,4626,,746,,5372,,105226,,230924,,38.8964,-77.0262,"(38.8964, -77.0262)",219666,,11258,
KY,Kentucky,06/01/2019,Y,U,Y,8459,,,,8459,,14948,,1483,,16431,,552745,,1307424,,38.5111,-96.8005,"(38.5111, -96.8005)",1218134,,89290,
TN,Tennessee,06/01/2019,N,U,Y,14023,,N/A,,14023,,7465,,953,,8418,,817905,,1439179,,41.6772,-71.5101,"(41.6772, -71.5101)",1355554,,83625,
VA,Virginia,06/01/2019,Y,U,Y,27232,Includes Renewals and/or Redeterminations,N/A,,27232,Includes Renewals and/or Redeterminations,19657,Includes Renewals and/or Redeterminations,634,Includes Renewals and/or Redeterminations,20291,Includes Renewals and/or Redeterminations,730566,,1324237,,35.7449,-86.7489,"(35.7449, -86.7489)",1180059,,144178,
NE,Nebraska,06/01/2019,N,U,Y,5534,,N/A,,5534,,5360,,707,,6067,,163338,,245673,,35.6411,-79.8431,"(35.6411, -79.8431)",212060,,33613,
OK,Oklahoma,06/01/2019,N,U,Y,37987,Includes Renewals and/or Redeterminations,N/A,,37987,Includes Renewals and/or Redeterminations,36793,Includes Renewals and/or Redeterminations,6829,,43622,Includes Renewals and/or Redeterminations,511378,,729196,,42.1497,-74.9384,"(42.1497, -74.9384)",610779,,118417,
IA,Iowa,06/01/2019,Y,U,Y,13620,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13620,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339084,,676777,,21.1098,-157.5311,"(21.1098, -157.5311)",600432,,76345,
CT,Connecticut,06/01/2019,Y,U,Y,4866,,10905,,15771,,14060,,332,,14392,,335347,,858543,,39.0646,-105.3272,"(39.0646, -105.3272)",838673,,19870,
VT,Vermont,06/01/2019,Y,U,Y,2742,,1287,,4029,Includes Renewals and/or Redeterminations,4944,Includes Renewals and/or Redeterminations,118,,5062,,62082,,155139,,31.106,-97.6475,"(31.106, -97.6475)",150800,,4339,
NM,New Mexico,06/01/2019,Y,U,Y,11725,,N/A,,11725,,16373,,1576,,17949,,328520,Includes Limited-Benefit Enrollees,729156,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",692477,Includes Limited-Benefit Enrollees,36679,
IN,Indiana,06/01/2019,Y,U,Y,78026,,N/A,,78026,,30850,,2340,,33190,,799127,,1459123,,40.3363,-89.0022,"(40.3363, -89.0022)",1347281,,111842,
MD,Maryland,06/01/2019,Y,U,Y,8148,,87544,Includes Renewals and/or Redeterminations,95692,Includes Renewals and/or Redeterminations,37905,Includes Renewals and/or Redeterminations,3571,Includes Renewals and/or Redeterminations,41476,Includes Renewals and/or Redeterminations,621388,,1322426,,42.2373,-71.5314,"(42.2373, -71.5314)",1170407,,152019,
NH,New Hampshire,06/01/2019,Y,U,Y,7128,,N/A,,7128,,4097,,481,,4578,,89380,,178783,,47.5362,-99.793,"(47.5362, -99.793)",163964,,14819,
WI,Wisconsin,06/01/2019,N,U,Y,22657,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,22657,Does Not Include All Applications for Limited-Benefit Programs,16534,"Count is of Households, Not Individuals",922,,17456,,507376,,1040697,,37.768,-78.2057,"(37.768, -78.2057)",971860,,68837,
NV,Nevada,06/01/2019,Y,U,Y,19181,Includes Renewals/Or redeterminations,N/A,,19181,Includes Renewals/Or redeterminations,11815,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",61,,11876,,312585,,631512,,40.314,-74.5089,"(40.314, -74.5089)",589769,,41743,
CA,California,06/01/2019,Y,U,Y,153566,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,153566,,149649,Does Not Include All Medicaid Determinations Made At Application,10684,Does Not Include All CHIP Determinations Made At Application,160333,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4896374,,11744007,,33.7712,-111.3877,"(33.7712, -111.3877)",10441601,,1302406,
AR,Arkansas,06/01/2019,Y,U,Y,19135,,N/A,,19135,,8381,,327,,8708,,371513,,794025,,34.9513,-92.3809,"(34.9513, -92.3809)",761140,,32885,
SD,South Dakota,06/01/2019,N,U,Y,2450,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2450,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1381,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1381,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78520,,110442,,18.2766,-66.335,"(18.2766, -66.335)",94830,,15612,
WV,West Virginia,06/01/2019,Y,U,Y,17916,,N/A,,17916,,10214,,517,,10731,,215734,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),514923,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",481516,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33407,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
