State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
N. Mariana Islands,1128,,,,2019,12,2017,10,,
Louisiana,1639527,461812,461812,0,2019,12,2017,11,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Nevada,592748,212028,212028,0,2019,12,2017,11,"Nevada
(39.283294, -114.916992)",
Nevada,594751,211805,211805,0,2019,12,2017,10,"Nevada
(39.283294, -114.916992)",
Michigan,2429766,676476,615416,61060,2019,12,2017,10,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Arizona,1936160,430958,113019,317939,2019,12,2017,11,"Arizona
(34.293239, -111.664616)",
Dist. Of Col.,263058,112725,70903,41822,2019,12,2017,11,,
Maryland,1220041,309040,309040,0,2019,12,2017,11,"Maryland
(38.946466, -76.687282)",
New York,6126936,1915571,295393,1620178,2019,12,2017,10,"New York
(42.921241, -75.59655)",
Montana,250605,91498,91498,0,2019,12,2017,12,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Virgin Islands,23492,9363,,9363,2019,12,2017,12,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Arkansas,936199,305607,305284,323,2019,12,2017,10,"Arkansas
(34.899825, -92.439162)",
Puerto Rico,1247119,376428,,376428,2019,12,2017,12,"Puerto Rico
(18.215692, -66.414655)",
South Carolina,1259031,,,,2019,12,2017,12,"South Carolina
(33.878572, -80.864614)",
Delaware,211123,62358,10426,51932,2019,12,2017,11,"Delaware
(38.994926, -75.452394)",
Iowa,591614,150585,138657,11928,2019,12,2017,10,"Iowa
(42.074659, -93.500061)",
