State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AZ,Arizona,07/01/2019,Y,U,Y,112109,,N/A,,112109,,,,,,,,,,1715655,,14.2417,-170.7197,"(14.2417, -170.7197)",1614557,,101098,
GA,Georgia,07/01/2019,N,U,Y,47828,,N/A,,47828,,24102,,731,,24833,,1270146,,1848553,,27.8333,-81.717,"(27.8333, -81.717)",1638216,,210337,
KS,Kansas,07/01/2019,N,U,Y,,,N/A,,,,,,,,,,257871,,370250,,39.8647,-86.2604,"(39.8647, -86.2604)",315102,,55148,
UT,Utah,07/01/2019,N,U,Y,17057,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17057,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39534,Includes CHIP,,,39534,,189937,,309995,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",268618,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41377,
WA,Washington,07/01/2019,Y,U,Y,69136,,66809,,135945,,100138,,1656,,101794,,822214,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1710797,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1643362,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),67435,
AK,Alaska,07/01/2019,Y,U,Y,3147,Includes Renewals and/or Redeterminations,N/A,,3147,Includes Renewals and/or Redeterminations,2693,Includes Renewals and/or Redeterminations; Includes CHIP,157,,2850,Includes Renewals and/or Redeterminations,97913,,223117,,61.385,-152.2683,"(61.385, -152.2683)",207174,,15943,
PA,Pennsylvania,07/01/2019,Y,U,Y,99081,Includes Renewals and/or Redeterminations,N/A,,99081,Includes Renewals and/or Redeterminations,90484,Includes Renewals and/or Redeterminations,10455,,100939,Includes Renewals and/or Redeterminations,1396947,,2962254,,35.5376,-96.9247,"(35.5376, -96.9247)",2777921,,184333,
HI,Hawaii,07/01/2019,Y,U,Y,5199,,N/A,,5199,,5537,,402,,5939,,139898,,328393,,32.9866,-83.6487,"(32.9866, -83.6487)",303135,,25258,
WI,Wisconsin,07/01/2019,N,U,Y,24866,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24866,Does Not Include All Applications for Limited-Benefit Programs,18614,"Count is of Households, Not Individuals",1014,,19628,,506943,,1040306,,37.768,-78.2057,"(37.768, -78.2057)",971561,,68745,
MS,Mississippi,07/01/2019,N,U,Y,21199,,N/A,,21199,,11703,,597,,12300,,420588,,620982,,38.4623,-92.302,"(38.4623, -92.302)",544368,,76614,
