State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Ohio,3084513,717134,655004,62130,2018,8,2017,2,
Hawaii,331400,117810,22371,95439,2018,8,2017,2,
Tennessee,1698951,,,,2018,8,2017,1,
New Hampshire,204759,56751,56514,237,2018,8,2017,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Indiana,1334047,440391,305309,135082,2018,8,2017,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
West Virginia,561377,178817,178817,0,2018,8,2017,1,
West Virginia,558686,177269,177269,0,2018,8,2017,2,
Nebraska,240871,,,,2018,8,2017,3,
Minnesota,1132450,194666,193904,762,2018,8,2017,3,
Massachusetts,1844751,384975,0,384975,2018,8,2017,3,
Mississippi,713360,,,,2018,8,2017,3,
Kentucky,1326724,471718,471718,0,2018,8,2017,1,
Louisiana,1656953,404079,404079,0,2018,8,2017,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Idaho,315986,,,,2018,8,2017,2,
Kentucky,1330149,471406,471406,0,2018,8,2017,2,
Vermont,185904,59458,0,59458,2018,8,2017,1,
Nebraska,239676,,,,2018,8,2017,2,
Michigan,2399513,678749,629385,49364,2018,8,2017,3,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Washington,1852441,622303,608182,14121,2018,8,2017,1,
Maine,258894,,,,2018,8,2017,2,
Rhode Island,303656,68581,68581,0,2018,8,2017,3,
Alaska,178640,33463,33347,116,2018,8,2017,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Alaska,183139,35283,35169,114,2018,8,2017,3,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,606382,155361,143427,11934,2018,8,2017,1,
Delaware,207397,61693,11054,50639,2018,8,2017,3,
Missouri,984161,,,,2018,8,2017,2,
N. Mariana Islands,15472,,,,2018,8,2017,2,
N. Mariana Islands,15472,,,,2018,8,2017,1,
Nevada,602985,210296,210296,0,2018,8,2017,1,
Oregon,1006512,482718,401762,80956,2018,8,2017,1,
Hawaii,332142,118388,22452,95936,2018,8,2017,3,
Indiana,1339952,434696,297985,136711,2018,8,2017,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Colorado,1343979,449591,447272,2319,2018,8,2017,1,
North Dakota,92901,21003,19973,1030,2018,8,2017,1,Awaiting state reporting/enrollment reasonableness review in progress
Georgia,1834418,,,,2018,8,2017,2,
Hawaii,331897,117661,22426,95235,2018,8,2017,1,
Nebraska,239851,,,,2018,8,2017,1,
Maine,260361,,,,2018,8,2017,3,
Ohio,3087798,714230,654717,59513,2018,8,2017,3,
New York,6121900,1976856,283681,1693175,2018,8,2017,1,
Guam,35805,3601,,3601,2018,8,2017,2,
Texas,4343082,,,,2018,8,2017,2,
Texas,4333650,,,,2018,8,2017,3,
Louisiana,1658137,417416,417416,0,2018,8,2017,3,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Idaho,323620,,,,2018,8,2017,1,
California,11683751,3737657,3737657,0,2018,8,2017,3,
Florida,4068266,,,,2018,8,2017,2,
Arkansas,967155,326948,318303,8645,2018,8,2017,1,
New York,6070580,1948399,282325,1666074,2018,8,2017,3,
Rhode Island,302796,68074,68074,0,2018,8,2017,1,
Virginia,1017358,,,,2018,8,2017,2,
Iowa,602058,154021,142157,11864,2018,8,2017,2,
Wyoming,62242,,,,2018,8,2017,1,
Colorado,1340089,448805,446508,2297,2018,8,2017,2,
Minnesota,1147722,197638,196812,826,2018,8,2017,1,
New Mexico,906788,267136,267136,0,2018,8,2017,2,
Utah,307149,,,,2018,8,2017,3,
Georgia,1838663,,,,2018,8,2017,3,
Indiana,1348135,436545,287589,148956,2018,8,2017,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Mississippi,713065,,,,2018,8,2017,1,
South Carolina,1255998,,,,2018,8,2017,1,
Minnesota,1147464,197001,196138,863,2018,8,2017,2,
Puerto Rico,1252937,380739,,380739,2018,8,2017,2,
Louisiana,1659098,411341,411341,0,2018,8,2017,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Colorado,1353769,449541,447298,2243,2018,8,2017,3,
Iowa,599417,152875,141204,11671,2018,8,2017,3,
Vermont,186290,60561,0,60561,2018,8,2017,3,
South Carolina,1259031,,,,2018,8,2017,3,
Florida,4041852,,,,2018,8,2017,3,
American Samoa,41214,,,,2018,8,2017,1,
Maryland,1202271,299645,299645,0,2018,8,2017,2,
Tennessee,1679886,,,,2018,8,2017,2,
South Carolina,1257936,,,,2018,8,2017,2,
Washington,1844437,617785,603609,14176,2018,8,2017,2,
Delaware,207235,62535,11518,51017,2018,8,2017,1,
Alabama,1021443,,,,2018,8,2017,1,
Guam,35989,3588,,3588,2018,8,2017,1,
Michigan,2396639,675541,625640,49901,2018,8,2017,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Idaho,317418,,,,2018,8,2017,3,
New Jersey,1717116,579452,579452,0,2018,8,2017,3,
Oklahoma,680615,,,,2018,8,2017,3,
Alabama,1018716,,,,2018,8,2017,2,
Utah,309206,,,,2018,8,2017,1,
Mississippi,713498,,,,2018,8,2017,2,
Nevada,606557,211414,211414,0,2018,8,2017,3,
Puerto Rico,1250355,386325,,386325,2018,8,2017,1,
District of Columbia,251456,107281,67784,39497,2018,8,2017,1,
Arkansas,959368,312412,304994,7418,2018,8,2017,2,
Virgin Islands,23649,4002,,4002,2018,8,2017,1,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
New Hampshire,204315,56885,56662,223,2018,8,2017,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Wyoming,62255,,,,2018,8,2017,3,
California,11845338,3778179,3778179,0,2018,8,2017,2,
New Mexico,905351,265852,265852,0,2018,8,2017,1,
North Carolina,2093828,,,,2018,8,2017,3,
District of Columbia,255046,108363,68056,40307,2018,8,2017,3,
Illinois,2911317,700713,663496,37217,2018,8,2017,1,
North Dakota,91198,20377,19384,993,2018,8,2017,2,Awaiting state reporting/enrollment reasonableness review in progress
Washington,1835360,613450,599650,13800,2018,8,2017,3,
Montana,227460,73765,73765,0,2018,8,2017,3,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
New Jersey,1719939,580168,580168,0,2018,8,2017,1,
New Hampshire,204584,56959,56727,232,2018,8,2017,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
New Mexico,905734,267122,267122,0,2018,8,2017,3,
Rhode Island,300006,67507,67507,0,2018,8,2017,2,
Connecticut,900579,229150,209260,19890,2018,8,2017,2,
Wyoming,61952,,,,2018,8,2017,2,
Maine,259820,,,,2018,8,2017,1,
Florida,4081473,,,,2018,8,2017,1,
Arizona,1946167,430336,111945,318391,2018,8,2017,1,
Kentucky,1331964,471998,471998,0,2018,8,2017,3,
N. Mariana Islands,15472,,,,2018,8,2017,3,
North Carolina,2089412,,,,2018,8,2017,1,
Montana,232255,74766,74766,0,2018,8,2017,2,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
South Dakota,108597,,,,2018,8,2017,1,
Kansas,377925,,,,2018,8,2017,2,
Wisconsin,1193239,,,,2018,8,2017,2,
Wisconsin,1190959,,,,2018,8,2017,1,
Pennsylvania,2852513,798633,755676,42957,2018,8,2017,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Maryland,1211102,302629,302629,0,2018,8,2017,3,
North Dakota,92185,20629,19615,1014,2018,8,2017,3,Awaiting state reporting/enrollment reasonableness review in progress
Oklahoma,676932,,,,2018,8,2017,1,
American Samoa,41214,,,,2018,8,2017,3,
Missouri,989181,,,,2018,8,2017,1,
Delaware,208121,62505,11357,51148,2018,8,2017,2,
