State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
HI,Hawaii,11/01/2019,Y,U,Y,4979,,N/A,,4979,,5831,,513,,6344,,139175,,326784,,32.9866,-83.6487,"(32.9866, -83.6487)",301271,,25513,
PA,Pennsylvania,11/01/2019,Y,U,Y,90851,Includes Renewals and/or Redeterminations,N/A,,90851,Includes Renewals and/or Redeterminations,85171,Includes Renewals and/or Redeterminations,10422,,95593,Includes Renewals and/or Redeterminations,1387584,,2934647,,35.5376,-96.9247,"(35.5376, -96.9247)",2749094,,185553,
DE,Delaware,11/01/2019,Y,U,Y,4745,,N/A,,4745,,4428,,762,,5190,,105575,,230863,,38.8964,-77.0262,"(38.8964, -77.0262)",219303,,11560,
TX,Texas,11/01/2019,N,U,Y,111362,,N/A,,111362,,73715,,10471,,84186,,3303002,,4195900,,33.8191,-80.9066,"(33.8191, -80.9066)",3615321,,580579,
NH,New Hampshire,11/01/2019,Y,U,Y,6591,,N/A,,6591,,5121,,677,,5798,,89475,,180333,,47.5362,-99.793,"(47.5362, -99.793)",164859,,15474,
MI,Michigan,11/01/2019,Y,U,Y,51527,,N/A,,51527,,50206,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,2238,,52444,,939828,Does Not Include All Full-Benefit Child Medicaid enrollees,2309976,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2242956,Does Not Include All Full-Benefit Medicaid enrollees,67020,
NC,North Carolina,11/01/2019,N,U,Y,21684,,N/A,,21684,,27137,,2796,,29933,,1190945,,1769511,,32.7673,-89.6812,"(32.7673, -89.6812)",1490549,,278962,
GA,Georgia,11/01/2019,N,U,Y,37939,,N/A,,37939,,19673,,661,,20334,,1266518,,1835963,,27.8333,-81.717,"(27.8333, -81.717)",1625703,,210260,
CA,California,11/01/2019,Y,U,Y,188768,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,188768,,141422,Does Not Include All Medicaid Determinations Made At Application,11249,Does Not Include All CHIP Determinations Made At Application,152671,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4842435,,11622664,,33.7712,-111.3877,"(33.7712, -111.3877)",10309314,,1313350,
IL,Illinois,11/01/2019,Y,U,Y,72700,,N/A,,72700,,29061,,9424,,38485,,1347181,,2830341,,44.2394,-114.5103,"(44.2394, -114.5103)",2552655,,277686,
