State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MD,Maryland,10/01/2019,Y,U,Y,7693,,101523,Includes Renewals and/or Redeterminations,109216,Includes Renewals and/or Redeterminations,39494,Includes Renewals and/or Redeterminations,4081,Includes Renewals and/or Redeterminations,43575,Includes Renewals and/or Redeterminations,622786,,1329774,,42.2373,-71.5314,"(42.2373, -71.5314)",1183205,,146569,
OR,Oregon,10/01/2019,Y,U,Y,13213,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13213,Does Not Include All Non-MAGI Applications,21502,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2486,,23988,Does Not Include All Non-MAGI Determinations Made At Application,416723,,991798,,40.3736,-82.7755,"(40.3736, -82.7755)",862457,,129341,
MN,Minnesota,10/01/2019,Y,U,Y,6732,,19390,,26122,,18361,,63,,18424,,530404,,1044497,,43.3504,-84.5603,"(43.3504, -84.5603)",1043130,,1367,
KS,Kansas,10/01/2019,N,U,Y,,,N/A,,,,,,,,,,260439,,375504,,39.8647,-86.2604,"(39.8647, -86.2604)",318223,,57281,
ID,Idaho,10/01/2019,Y,U,Y,12752,,,,12752,,11819,,971,,12790,,187533,,264965,,42.0046,-93.214,"(42.0046, -93.214)",238986,,25979,
NH,New Hampshire,10/01/2019,Y,U,Y,8509,,N/A,,8509,,5267,,602,,5869,,89163,,178976,,47.5362,-99.793,"(47.5362, -99.793)",163908,,15068,
NV,Nevada,10/01/2019,Y,U,Y,20909,Includes Renewals/Or redeterminations,N/A,,20909,Includes Renewals/Or redeterminations,12845,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",66,,12911,,298087,,630701,,40.314,-74.5089,"(40.314, -74.5089)",590902,,39799,
VA,Virginia,10/01/2019,Y,U,Y,36888,Includes Renewals and/or Redeterminations,N/A,,36888,Includes Renewals and/or Redeterminations,28810,Includes Renewals and/or Redeterminations,939,Includes Renewals and/or Redeterminations,29749,Includes Renewals and/or Redeterminations,740192,,1368331,,35.7449,-86.7489,"(35.7449, -86.7489)",1219888,,148443,
KY,Kentucky,10/01/2019,Y,U,Y,9511,,,,9511,,,,1239,,1239,,548982,,1298786,,38.5111,-96.8005,"(38.5111, -96.8005)",1207392,,91394,
ME,Maine,10/01/2019,Y,U,Y,7036,,N/A,,7036,,12001,,725,,12726,,104192,,224504,,39.0724,-76.7902,"(39.0724, -76.7902)",213010,,11494,
WY,Wyoming,10/01/2019,N,U,Y,1547,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1547,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,838,,49,,887,,36990,,55881,,44.0407,-72.7093,"(44.0407, -72.7093)",51584,,4297,
CT,Connecticut,10/01/2019,Y,U,Y,6031,,12475,,18506,,16728,,392,,17120,,333764,,851428,,39.0646,-105.3272,"(39.0646, -105.3272)",831289,,20139,
NJ,New Jersey,10/01/2019,Y,U,Y,42762,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,42762,Does Not Include All Non-MAGI Applications,16749,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,7158,,23907,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,815411,,1703930,,41.1289,-98.2883,"(41.1289, -98.2883)",1476849,,227081,
RI,Rhode Island,10/01/2019,Y,U,Y,1324,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1324,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1742,,149,,1891,,118303,,298297,,44.5672,-122.1269,"(44.5672, -122.1269)",265561,,32736,
