State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Totals,76353875,15448246,12137627,3310619,2020,2,2018,7,,
Dist. Of Col.,260240,109131,67651,41480,2020,2,2018,9,,
Amer. Samoa,27898,,,,2020,2,2018,9,,
Iowa,604187,167984,153533,14451,2020,2,2018,9,"Iowa
(42.074659, -93.500061)",
Alaska,206277,48272,48270,2,2020,2,2018,9,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Alabama,1025250,,,,2020,2,2018,9,"Alabama
(32.756889, -86.844516)",
Arkansas,915127,280923,280441,482,2020,2,2018,7,"Arkansas
(34.899825, -92.439162)",
Pennsylvania,2889531,787158,747021,40137,2020,2,2018,7,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Ohio,2919452,590989,590699,290,2020,2,2018,9,"Ohio
(40.415534, -82.70936)",
Dist. Of Col.,261071,110308,68937,41371,2020,2,2018,7,,
Georgia,1941288,,,,2020,2,2018,8,"Georgia
(32.638481, -83.426574)",
Wyoming,57513,,,,2020,2,2018,9,"Wyoming
(42.999627, -107.55145)",
Missouri,929322,,,,2020,2,2018,9,"Missouri
(38.3675, -92.477244)",
Rhode Island,309924,69330,69330,0,2020,2,2018,8,"Rhode Island
(41.572574, -71.534637)",
Vermont,174201,57473,0,57473,2020,2,2018,9,"Vermont
(44.075252, -72.662695)",
Mississippi,678243,,,,2020,2,2018,8,"Mississippi
(32.713378, -89.65344)",
Kentucky,1324040,464074,464074,0,2020,2,2018,7,"Kentucky
(37.526683, -85.290484)",
North Carolina,2179965,,,,2020,2,2018,7,"North Carolina
(35.52603, -79.130883)",
Michigan,2434780,686125,626607,59518,2020,2,2018,7,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Puerto Rico,1241794,411936,,411936,2020,2,2018,9,"Puerto Rico
(18.215692, -66.414655)",
Virginia,1070855,0,0,0,2020,2,2018,7,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Massachusetts,1742631,346875,0,346875,2020,2,2018,9,"Massachusetts
(42.151077, -71.481104)",
Indiana,1320972,302840,302840,0,2020,2,2018,8,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Utah,296817,,,,2020,2,2018,8,"Utah
(39.323779, -111.678222)",
Montana,260463,98630,98630,0,2020,2,2018,7,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
South Dakota,105275,,,,2020,2,2018,7,"South Dakota
(44.43614, -100.230491)",
Florida,3723585,,,,2020,2,2018,9,"Florida
(28.260731, -82.420978)",
New York,6158642,1921610,300259,1621351,2020,2,2018,8,"New York
(42.921241, -75.59655)",
Louisiana,1646050,486291,486291,0,2020,2,2018,8,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1766725,566372,552157,14215,2020,2,2018,8,"Washington
(47.411715, -120.592492)",
Kansas,374444,,,,2020,2,2018,9,"Kansas
(38.484729, -98.38018)",
Alabama,1019417,,,,2020,2,2018,7,"Alabama
(32.756889, -86.844516)",
Arizona,1873080,414203,106007,308196,2020,2,2018,8,"Arizona
(34.293239, -111.664616)",
Nevada,602322,214260,214260,0,2020,2,2018,8,"Nevada
(39.283294, -114.916992)",
Colorado,1300426,411490,404538,6952,2020,2,2018,9,"Colorado
(38.998552, -105.547832)",
New Hampshire,186728,55024,54727,297,2020,2,2018,9,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Hawaii,322003,116486,21627,94859,2020,2,2018,7,"Hawaii
(21.361013, -157.854309)",
Virgin Islands,25474,11347,,11347,2020,2,2018,9,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Illinois,2835995,724881,617626,107255,2020,2,2018,7,"Illinois
(40.124144, -89.148632)",
New Jersey,1674135,555514,555514,0,2020,2,2018,9,"New Jersey
(40.110253, -74.655514)",
New Hampshire,187403,55149,54872,277,2020,2,2018,7,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Louisiana,1644548,484602,484602,0,2020,2,2018,7,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Missouri,943536,,,,2020,2,2018,8,"Missouri
(38.3675, -92.477244)",
Texas,4258552,,,,2020,2,2018,7,"Texas
(31.447238, -99.317341)",
Washington,1773278,569954,555955,13999,2020,2,2018,7,"Washington
(47.411715, -120.592492)",
Wisconsin,1184828,,,,2020,2,2018,8,"Wisconsin
(44.639954, -89.732969)",
North Dakota,91096,19872,18885,987,2020,2,2018,9,"North Dakota
(47.446305, -100.46931)",
Guam,36322,4039,,4039,2020,2,2018,8,"Guam
(13.3532, 144.653198)",
Delaware,210857,62684,10040,52644,2020,2,2018,7,"Delaware
(38.994926, -75.452394)",
Wisconsin,1181756,,,,2020,2,2018,9,"Wisconsin
(44.639954, -89.732969)",
North Dakota,92213,20185,19193,992,2020,2,2018,7,"North Dakota
(47.446305, -100.46931)",
California,12953106,3787702,3787702,0,2020,2,2018,7,"California
(37.211164, -119.662127)",
Connecticut,941173,254526,232838,21688,2020,2,2018,8,"Connecticut
(41.575155, -72.738288)",
Maryland,1214405,307932,307932,0,2020,2,2018,9,"Maryland
(38.946466, -76.687282)",
South Carolina,1266260,,,,2020,2,2018,8,"South Carolina
(33.878572, -80.864614)",
Maryland,1218003,308613,308613,0,2020,2,2018,8,"Maryland
(38.946466, -76.687282)",
Oklahoma,655330,,,,2020,2,2018,8,"Oklahoma
(35.583449, -97.508297)",
Oregon,960626,458091,383777,74314,2020,2,2018,7,"Oregon
(43.940449, -120.605279)",
Massachusetts,1798421,354871,0,354871,2020,2,2018,7,"Massachusetts
(42.151077, -71.481104)",
Pennsylvania,2855345,770564,731789,38775,2020,2,2018,9,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Idaho,301897,,,,2020,2,2018,9,"Idaho
(44.389073, -114.659366)",
Guam,36382,4041,,4041,2020,2,2018,7,"Guam
(13.3532, 144.653198)",
Kentucky,1320886,460997,460997,0,2020,2,2018,8,"Kentucky
(37.526683, -85.290484)",
Virginia,1073040,0,0,0,2020,2,2018,9,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,1690311,564120,564120,0,2020,2,2018,7,"New Jersey
(40.110253, -74.655514)",
Virginia,1070456,0,0,0,2020,2,2018,8,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1308238,454781,454781,0,2020,2,2018,9,"Kentucky
(37.526683, -85.290484)",
Alaska,205437,47522,47520,2,2020,2,2018,7,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Mississippi,675028,,,,2020,2,2018,9,"Mississippi
(32.713378, -89.65344)",
Wyoming,57649,,,,2020,2,2018,7,"Wyoming
(42.999627, -107.55145)",
New Mexico,835672,250673,250673,0,2020,2,2018,8,"New Mexico
(34.421369, -106.108388)",
California,12725382,3733737,3733737,0,2020,2,2018,9,"California
(37.211164, -119.662127)",
Missouri,941393,,,,2020,2,2018,7,"Missouri
(38.3675, -92.477244)",
