State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Amer. Samoa,28183,,,,2020,2,2019,2,,
N. Mariana Islands,16109,,,,2020,2,2019,3,,
Utah,287277,,,,2020,2,2019,3,"Utah
(39.323779, -111.678222)",
Maine,257551,8562,8562,0,2020,2,2019,2,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Colorado,1255515,389270,382110,7160,2020,2,2019,2,"Colorado
(38.998552, -105.547832)",
Tennessee,1540713,,,,2020,2,2019,1,"Tennessee
(35.842998, -86.343226)",
Utah,288842,,,,2020,2,2019,2,"Utah
(39.323779, -111.678222)",
Massachusetts,1488230,336784,0,336784,2020,2,2019,3,"Massachusetts
(42.151077, -71.481104)",
Kentucky,1290860,450566,450566,0,2020,2,2019,2,"Kentucky
(37.526683, -85.290484)",
Pennsylvania,2859499,770742,731892,38850,2020,2,2019,2,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,589856,211069,211069,0,2020,2,2019,1,"Nevada
(39.283294, -114.916992)",
Wyoming,54597,,,,2020,2,2019,3,"Wyoming
(42.999627, -107.55145)",
Arizona,1874674,421967,106458,315509,2020,2,2019,1,"Arizona
(34.293239, -111.664616)",
Idaho,293665,,,,2020,2,2019,1,"Idaho
(44.389073, -114.659366)",
Arizona,1876939,426199,107490,318709,2020,2,2019,3,"Arizona
(34.293239, -111.664616)",
Indiana,1310771,310202,310202,0,2020,2,2019,3,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
New York,6130507,1900628,301942,1598686,2020,2,2019,3,"New York
(42.921241, -75.59655)",
N. Mariana Islands,15963,,,,2020,2,2019,2,,
Hawaii,313334,112080,20671,91409,2020,2,2019,1,"Hawaii
(21.361013, -157.854309)",
Minnesota,1084410,197789,197019,770,2020,2,2019,1,"Minnesota
(46.349153, -94.198308)",
Kansas,369499,,,,2020,2,2019,1,"Kansas
(38.484729, -98.38018)",
Totals,75153292,15448306,12201118,3247188,2020,2,2019,2,,
Oregon,958743,461893,381390,80503,2020,2,2019,3,"Oregon
(43.940449, -120.605279)",
Alabama,1033902,,,,2020,2,2019,2,"Alabama
(32.756889, -86.844516)",
Arkansas,825029,247947,246996,951,2020,2,2019,3,"Arkansas
(34.899825, -92.439162)",
Nevada,587603,209747,209747,0,2020,2,2019,3,"Nevada
(39.283294, -114.916992)",
New Jersey,1639444,545379,545379,0,2020,2,2019,2,"New Jersey
(40.110253, -74.655514)",
South Dakota,104369,,,,2020,2,2019,1,"South Dakota
(44.43614, -100.230491)",
Delaware,219338,62893,9842,53051,2020,2,2019,1,"Delaware
(38.994926, -75.452394)",
North Carolina,2162490,,,,2020,2,2019,3,"North Carolina
(35.52603, -79.130883)",
Oregon,967100,466729,386673,80056,2020,2,2019,1,"Oregon
(43.940449, -120.605279)",
Minnesota,1067388,193550,192684,866,2020,2,2019,2,"Minnesota
(46.349153, -94.198308)",
Florida,3790751,,,,2020,2,2019,2,"Florida
(28.260731, -82.420978)",
Washington,1743962,559930,545495,14435,2020,2,2019,2,"Washington
(47.411715, -120.592492)",
Virgin Islands,27617,12713,12678,12713,2020,2,2019,1,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,218971,62762,9817,52945,2020,2,2019,3,"Delaware
(38.994926, -75.452394)",
Illinois,2638758,672921,565283,107638,2020,2,2019,2,"Illinois
(40.124144, -89.148632)",
North Dakota,89555,19561,18641,920,2020,2,2019,2,"North Dakota
(47.446305, -100.46931)",
Missouri,881755,,,,2020,2,2019,3,"Missouri
(38.3675, -92.477244)",
New York,6153908,1911722,302526,1609196,2020,2,2019,1,"New York
(42.921241, -75.59655)",
Maryland,1222071,310968,310968,0,2020,2,2019,3,"Maryland
(38.946466, -76.687282)",
Connecticut,954542,267800,243656,24144,2020,2,2019,3,"Connecticut
(41.575155, -72.738288)",
California,12724664,3768331,3767510,821,2020,2,2019,2,"California
(37.211164, -119.662127)",
Louisiana,1675222,507789,507789,0,2020,2,2019,2,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Puerto Rico,1212621,403672,,403672,2020,2,2019,2,"Puerto Rico
(18.215692, -66.414655)",
Nebraska,244419,,,,2020,2,2019,1,"Nebraska
(41.527099, -99.810595)",
Vermont,171269,56793,0,56793,2020,2,2019,1,"Vermont
(44.075252, -72.662695)",
Vermont,169458,55799,0,55799,2020,2,2019,3,"Vermont
(44.075252, -72.662695)",
Iowa,603260,171270,156133,15137,2020,2,2019,3,"Iowa
(42.074659, -93.500061)",
New Hampshire,185135,54590,54307,283,2020,2,2019,2,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Guam,35908,4208,,4208,2020,2,2019,3,"Guam
(13.3532, 144.653198)",
Maine,250952,2922,2922,0,2020,2,2019,1,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Texas,4204185,,,,2020,2,2019,2,"Texas
(31.447238, -99.317341)",
Alaska,207050,50745,50742,3,2020,2,2019,2,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Michigan,2443016,697752,645158,52594,2020,2,2019,2,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,675003,,,,2020,2,2019,1,"Mississippi
(32.713378, -89.65344)",
South Carolina,1269811,,,,2020,2,2019,3,"South Carolina
(33.878572, -80.864614)",
Oklahoma,637768,,,,2020,2,2019,3,"Oklahoma
(35.583449, -97.508297)",
Alabama,1033512,,,,2020,2,2019,3,"Alabama
(32.756889, -86.844516)",
West Virginia,524071,161070,161070,0,2020,2,2019,1,"West Virginia
(38.642579, -80.613729)",
New Hampshire,184346,54127,53842,285,2020,2,2019,3,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Iowa,601388,169454,153747,15707,2020,2,2019,1,"Iowa
(42.074659, -93.500061)",
Rhode Island,303148,66446,66446,0,2020,2,2019,3,"Rhode Island
(41.572574, -71.534637)",
Montana,258991,99706,99706,0,2020,2,2019,2,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Wisconsin,1176174,,,,2020,2,2019,1,"Wisconsin
(44.639954, -89.732969)",
Wisconsin,1178290,,,,2020,2,2019,3,"Wisconsin
(44.639954, -89.732969)",
Maryland,1211974,309643,309643,0,2020,2,2019,1,"Maryland
(38.946466, -76.687282)",
Pennsylvania,2866740,774134,735455,38679,2020,2,2019,1,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Amer. Samoa,28183,,,,2020,2,2019,1,,
Dist. Of Col.,260789,108049,66542,41507,2020,2,2019,2,,
Indiana,1320319,309792,309792,0,2020,2,2019,2,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,2845367,562111,561835,276,2020,2,2019,2,"Ohio
(40.415534, -82.70936)",
New Mexico,837778,255147,255147,0,2020,2,2019,1,"New Mexico
(34.421369, -106.108388)",
Mississippi,674239,,,,2020,2,2019,3,"Mississippi
(32.713378, -89.65344)",
Hawaii,312149,111530,20366,91164,2020,2,2019,3,"Hawaii
(21.361013, -157.854309)",
North Carolina,2172915,,,,2020,2,2019,2,"North Carolina
(35.52603, -79.130883)",
Virginia,1401917,220580,220580,0,2020,2,2019,2,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Dist. Of Col.,260388,108097,66620,41477,2020,2,2019,1,,
