State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
ME,Maine,05/01/2020,Y,U,Y,5476,,N/A,,5476,,7228,,307,,7535,,106606,,230811,,39.0724,-76.7902,"(39.0724, -76.7902)",218442,,12369,
CA,California,05/01/2020,Y,U,Y,143469,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,143469,,162372,Does Not Include All Medicaid Determinations Made At Application,13194,Does Not Include All CHIP Determinations Made At Application,175566,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4815991,,11740127,,33.7712,-111.3877,"(33.7712, -111.3877)",10448023,,1292104,
MT,Montana,05/01/2020,Y,U,Y,3070,,N/A,,3070,,3309,,357,,3666,,111505,,246033,,14.8058,145.5505,"(14.8058, 145.5505)",221019,,25014,
TN,Tennessee,05/01/2020,N,U,Y,22416,,N/A,,22416,,9679,,1239,,10918,,836800,,1479417,,41.6772,-71.5101,"(41.6772, -71.5101)",1355644,,123773,
WI,Wisconsin,05/01/2020,N,U,Y,18309,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,18309,Does Not Include All Applications for Limited-Benefit Programs,18914,"Count is of Households, Not Individuals",1340,,20254,,520907,,1097910,,37.768,-78.2057,"(37.768, -78.2057)",1029995,,67915,
GA,Georgia,05/01/2020,N,U,Y,39659,,N/A,,39659,,20941,,628,,21569,,1342615,,1929582,,27.8333,-81.717,"(27.8333, -81.717)",1709833,,219749,
DC,District of Columbia,05/01/2020,Y,U,Y,2795,Includes SBM data,1535,,4330,Includes Renewals and/or Redeterminations,3323,Includes Renewals and/or Redeterminations; Includes CHIP,,,3323,,,,246901,,41.5834,-72.7622,"(41.5834, -72.7622)",229617,,17284,
VT,Vermont,05/01/2020,Y,U,Y,1068,,1069,,2137,Includes Renewals and/or Redeterminations,2570,Includes Renewals and/or Redeterminations,50,,2620,,61953,,159344,,31.106,-97.6475,"(31.106, -97.6475)",155092,,4252,
WV,West Virginia,05/01/2020,Y,U,Y,12223,,N/A,,12223,,6205,,283,,6488,,214315,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),515305,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",481603,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33702,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
OK,Oklahoma,05/01/2020,N,U,Y,27062,Includes Renewals and/or Redeterminations,N/A,,27062,Includes Renewals and/or Redeterminations,32845,Includes Renewals and/or Redeterminations,5990,,38835,Includes Renewals and/or Redeterminations,536571,,773600,,42.1497,-74.9384,"(42.1497, -74.9384)",646739,,126861,
AZ,Arizona,05/01/2020,Y,U,Y,63387,,N/A,,63387,,,,,,,,,,1817362,,14.2417,-170.7197,"(14.2417, -170.7197)",1714470,,102892,
NC,North Carolina,05/01/2020,N,U,Y,20237,,N/A,,20237,,28580,,2364,,30944,,1219258,,1853734,,32.7673,-89.6812,"(32.7673, -89.6812)",1565335,,288399,
OR,Oregon,05/01/2020,Y,U,Y,9368,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,9368,Does Not Include All Non-MAGI Applications,17563,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",1780,,19343,Does Not Include All Non-MAGI Determinations Made At Application,425922,,1042719,,40.3736,-82.7755,"(40.3736, -82.7755)",913167,,129552,
VA,Virginia,05/01/2020,Y,U,Y,18741,Includes Renewals and/or Redeterminations,N/A,,18741,Includes Renewals and/or Redeterminations,21796,Includes Renewals and/or Redeterminations,772,Includes Renewals and/or Redeterminations,22568,Includes Renewals and/or Redeterminations,776049,,1485789,,35.7449,-86.7489,"(35.7449, -86.7489)",1327760,,158029,
MO,Missouri,05/01/2020,N,U,Y,12856,Includes  Renewals and/or Redeterminations,N/A,,12856,Includes  Renewals and/or Redeterminations,7468,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",475,Includes Renewals and/or Redeterminations,7943,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",569727,,915882,,45.7326,-93.9196,"(45.7326, -93.9196)",876441,,39441,
WY,Wyoming,05/01/2020,N,U,Y,1274,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1274,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,617,,39,,656,,38923,,58764,,44.0407,-72.7093,"(44.0407, -72.7093)",54392,,4372,
IN,Indiana,05/01/2020,Y,U,Y,67090,,N/A,,67090,,35354,,2048,,37402,,840125,,1589922,,40.3363,-89.0022,"(40.3363, -89.0022)",1472745,,117177,
CT,Connecticut,05/01/2020,Y,U,Y,2957,,7366,,10323,,9758,,192,,9950,,336747,,868067,,39.0646,-105.3272,"(39.0646, -105.3272)",848280,,19787,
FL,Florida,05/01/2020,N,U,Y,319429,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,319429,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,237020,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,11487,,248507,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2519996,,3823393,,39.3498,-75.5148,"(39.3498, -75.5148)",3588226,,235167,
MD,Maryland,05/01/2020,Y,U,Y,3558,,62328,Includes Renewals and/or Redeterminations,65886,Includes Renewals and/or Redeterminations,27954,Includes Renewals and/or Redeterminations,1731,Includes Renewals and/or Redeterminations,29685,Includes Renewals and/or Redeterminations,630875,,1362890,,42.2373,-71.5314,"(42.2373, -71.5314)",1220901,,141989,
MS,Mississippi,05/01/2020,N,U,Y,14541,,N/A,,14541,,9181,,353,,9534,,426882,,629996,,38.4623,-92.302,"(38.4623, -92.302)",550187,,79809,
NJ,New Jersey,05/01/2020,Y,U,Y,25120,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,25120,Does Not Include All Non-MAGI Applications,19228,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,4979,,24207,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,831891,,1753985,,41.1289,-98.2883,"(41.1289, -98.2883)",1513202,,240783,
AL,Alabama,05/01/2020,N,U,Y,8167,,N/A,,8167,,9481,,1134,,10615,,680817,,951966,,32.799,-86.8073,"(32.799, -86.8073)",777083,,174883,
KY,Kentucky,05/01/2020,Y,U,Y,31146,,,,31146,,9332,,698,,10030,,564834,,1374471,,38.5111,-96.8005,"(38.5111, -96.8005)",1288837,,85634,
NM,New Mexico,05/01/2020,Y,U,Y,10536,,N/A,,10536,,11552,,1347,,12899,,335341,Includes Limited-Benefit Enrollees,764165,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",726691,Includes Limited-Benefit Enrollees,37474,
DE,Delaware,05/01/2020,Y,U,Y,3132,,N/A,,3132,,3119,,278,,3397,,106938,,236616,,38.8964,-77.0262,"(38.8964, -77.0262)",225003,,11613,
NY,New York,05/01/2020,Y,U,Y,,,694282,Includes Renewals and/or Redeterminations,694282,Includes Renewals and/or Redeterminations,145301,Includes Renewals and/or Redeterminations,9927,Includes Renewals and/or Redeterminations,155228,Includes Renewals and/or Redeterminations,2434903,,6193566,,34.8375,-106.2371,"(34.8375, -106.2371)",5567697,,625869,
TX,Texas,05/01/2020,N,U,Y,102641,,N/A,,102641,,66070,,9752,,75822,,3450928,,4400011,,33.8191,-80.9066,"(33.8191, -80.9066)",3819451,,580560,
MA,Massachusetts,05/01/2020,Y,U,Y,7790,,3951,,11741,,7964,,686,,8650,,679782,,1609953,,31.1801,-91.8749,"(31.1801, -91.8749)",1422125,,187828,
MI,Michigan,05/01/2020,Y,U,Y,35541,,N/A,,35541,,35640,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1024,,36664,,965431,Does Not Include All Full-Benefit Child Medicaid enrollees,2425239,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2363968,Does Not Include All Full-Benefit Medicaid enrollees,61271,
