State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Rhode Island,309510,69769,69769,0,2019,12,2018,1,"Rhode Island
(41.572574, -71.534637)",
Wyoming,59029,,,,2019,12,2018,2,"Wyoming
(42.999627, -107.55145)",
Idaho,307284,,,,2019,12,2018,2,"Idaho
(44.389073, -114.659366)",
Montana,256778,96040,96040,0,2019,12,2018,3,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Louisiana,1645807,478722,478722,0,2019,12,2018,3,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
New Mexico,855320,256228,256228,0,2019,12,2018,3,"New Mexico
(34.421369, -106.108388)",
Virginia,1053905,,,,2019,12,2018,3,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Utah,298611,,,,2019,12,2018,1,"Utah
(39.323779, -111.678222)",
Alaska,197607,43817,43788,29,2019,12,2018,3,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
North Carolina,2167786,,,,2019,12,2018,3,"North Carolina
(35.52603, -79.130883)",
Dist. Of Col.,264587,113085,71873,41212,2019,12,2018,2,,
South Dakota,105352,,,,2019,12,2018,1,"South Dakota
(44.43614, -100.230491)",
Delaware,211567,63099,10492,52607,2019,12,2018,2,"Delaware
(38.994926, -75.452394)",
Utah,300615,,,,2019,12,2018,2,"Utah
(39.323779, -111.678222)",
California,13106525,3826607,3826607,0,2019,12,2018,2,"California
(37.211164, -119.662127)",
New Mexico,863477,257654,257654,0,2019,12,2018,1,"New Mexico
(34.421369, -106.108388)",
Alaska,196618,43303,43271,32,2019,12,2018,2,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Florida,3993964,,,,2019,12,2018,1,"Florida
(28.260731, -82.420978)",
Illinois,2943884,751967,645732,106235,2019,12,2018,1,"Illinois
(40.124144, -89.148632)",
Nebraska,245972,,,,2019,12,2018,1,"Nebraska
(41.527099, -99.810595)",
Guam,35693,3892,,3892,2019,12,2018,2,"Guam
(13.3532, 144.653198)",
South Carolina,1258139,,,,2019,12,2018,1,"South Carolina
(33.878572, -80.864614)",
Mississippi,700020,,,,2019,12,2018,1,"Mississippi
(32.713378, -89.65344)",
Louisiana,1647411,476258,476258,0,2019,12,2018,2,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
N. Mariana Islands,1196,,,,2019,12,2018,2,,
Georgia,1955309,,,,2019,12,2018,1,"Georgia
(32.638481, -83.426574)",
Tennessee,1615240,,,,2019,12,2018,2,"Tennessee
(35.842998, -86.343226)",
Maryland,1233989,312583,312583,0,2019,12,2018,2,"Maryland
(38.946466, -76.687282)",
Iowa,600397,161393,148219,13174,2019,12,2018,3,"Iowa
(42.074659, -93.500061)",
South Carolina,1259686,,,,2019,12,2018,3,"South Carolina
(33.878572, -80.864614)",
Washington,1791975,582620,569170,13450,2019,12,2018,2,"Washington
(47.411715, -120.592492)",
Michigan,2445117,694972,633228,61744,2019,12,2018,1,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Maryland,1228669,311497,311497,0,2019,12,2018,1,"Maryland
(38.946466, -76.687282)",
South Carolina,1258564,,,,2019,12,2018,2,"South Carolina
(33.878572, -80.864614)",
Ohio,3000873,630618,630276,342,2019,12,2018,3,"Ohio
(40.415534, -82.70936)",
Illinois,2867512,731008,624350,106658,2019,12,2018,3,"Illinois
(40.124144, -89.148632)",
Oklahoma,651872,,,,2019,12,2018,2,"Oklahoma
(35.583449, -97.508297)",
Ohio,3022167,645274,644909,365,2019,12,2018,1,"Ohio
(40.415534, -82.70936)",
Puerto Rico,1265467,395156,,395156,2019,12,2018,3,"Puerto Rico
(18.215692, -66.414655)",
Colorado,1294260,415324,413149,2175,2019,12,2018,3,"Colorado
(38.998552, -105.547832)",
Delaware,210486,62756,10293,52463,2019,12,2018,3,"Delaware
(38.994926, -75.452394)",
Virginia,1052069,,,,2019,12,2018,2,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
North Dakota,93285,20666,19610,1056,2019,12,2018,3,"North Dakota
(47.446305, -100.46931)",
Hawaii,330477,120260,22747,97513,2019,12,2018,1,"Hawaii
(21.361013, -157.854309)",
Wisconsin,1191001,,,,2019,12,2018,3,"Wisconsin
(44.639954, -89.732969)",
New York,6167453,1936529,303337,1633192,2019,12,2018,3,"New York
(42.921241, -75.59655)",
Utah,299796,,,,2019,12,2018,3,"Utah
(39.323779, -111.678222)",
Dist. Of Col.,263558,112784,71290,41494,2019,12,2018,1,,
Georgia,1960635,,,,2019,12,2018,2,"Georgia
(32.638481, -83.426574)",
Kentucky,1357355,492751,492751,0,2019,12,2018,3,"Kentucky
(37.526683, -85.290484)",
Pennsylvania,2741703,796559,755486,41073,2019,12,2018,3,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Maryland,1237993,313593,313593,0,2019,12,2018,3,"Maryland
(38.946466, -76.687282)",
Wisconsin,1192743,,,,2019,12,2018,2,"Wisconsin
(44.639954, -89.732969)",
Delaware,211708,63045,10538,52507,2019,12,2018,1,"Delaware
(38.994926, -75.452394)",
Georgia,1963489,,,,2019,12,2018,3,"Georgia
(32.638481, -83.426574)",
Nevada,598902,214266,214266,0,2019,12,2018,3,"Nevada
(39.283294, -114.916992)",
West Virginia,540782,168038,168038,0,2019,12,2018,3,"West Virginia
(38.642579, -80.613729)",
Kentucky,1356170,493607,493607,0,2019,12,2018,2,"Kentucky
(37.526683, -85.290484)",
Massachusetts,1817350,376408,0,376408,2019,12,2018,2,"Massachusetts
(42.151077, -71.481104)",
Virgin Islands,24528,9958,,9958,2019,12,2018,3,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Indiana,1356203,446208,326576,119632,2019,12,2018,1,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Puerto Rico,1265139,387916,,387916,2019,12,2018,2,"Puerto Rico
(18.215692, -66.414655)",
Arkansas,920504,294581,294263,318,2019,12,2018,1,"Arkansas
(34.899825, -92.439162)",
Vermont,178664,58855,0,58855,2019,12,2018,2,"Vermont
(44.075252, -72.662695)",
Nevada,598715,215236,215236,0,2019,12,2018,1,"Nevada
(39.283294, -114.916992)",
