State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
LA,Louisiana,04/01/2019,Y,U,Y,28245,,N/A,,28245,,18748,,1953,,20701,,734915,,1547087,,37.669,-84.6514,"(37.669, -84.6514)",1405697,,141390,
VT,Vermont,04/01/2019,Y,U,Y,2925,,1933,,4858,Includes Renewals and/or Redeterminations,5392,Includes Renewals and/or Redeterminations,202,,5594,,62432,,156170,,31.106,-97.6475,"(31.106, -97.6475)",151531,,4639,
NY,New York,04/01/2019,Y,U,Y,,,762419,,762419,,116785,,8261,,125046,,2436309,,6113738,,34.8375,-106.2371,"(34.8375, -106.2371)",5532168,,581570,
PA,Pennsylvania,04/01/2019,Y,U,Y,95185,Includes Renewals and/or Redeterminations,N/A,,95185,Includes Renewals and/or Redeterminations,91606,Includes Renewals and/or Redeterminations,10861,,102467,Includes Renewals and/or Redeterminations,1400890,,2974264,,35.5376,-96.9247,"(35.5376, -96.9247)",2791293,,182971,
MO,Missouri,04/01/2019,N,U,Y,21607,,N/A,,21607,,11436,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",471,Includes Renewals and/or Redeterminations,11907,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",559705,,886669,,45.7326,-93.9196,"(45.7326, -93.9196)",853183,,33486,
KY,Kentucky,04/01/2019,Y,U,Y,8842,,,,8842,,17212,,1900,,19112,,552421,,1308749,,38.5111,-96.8005,"(38.5111, -96.8005)",1220357,,88392,
SC,South Carolina,04/01/2019,N,U,Y,23789,,N/A,,23789,,6657,Does Not Include All Medicaid Determinations Made At Application,195,Does Not Include All Medicaid Determinations Made At Application,6852,Does Not Include All Medicaid Determinations Made At Application,661224,,1054717,,40.5773,-77.264,"(40.5773, -77.264)",963525,,91192,
AK,Alaska,04/01/2019,Y,U,Y,3368,Includes Renewals and/or Redeterminations,N/A,,3368,Includes Renewals and/or Redeterminations,3053,Includes Renewals and/or Redeterminations; Includes CHIP,202,,3255,Includes Renewals and/or Redeterminations,96593,,218972,,61.385,-152.2683,"(61.385, -152.2683)",203524,,15448,
NM,New Mexico,04/01/2019,Y,U,Y,12481,,N/A,,12481,,20298,,1566,,21864,,330189,Includes Limited-Benefit Enrollees,731467,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",694529,Includes Limited-Benefit Enrollees,36938,
MI,Michigan,04/01/2019,Y,U,Y,56872,,N/A,,56872,,52569,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1838,,54407,,946267,Does Not Include All Full-Benefit Child Medicaid enrollees,2334794,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2272953,Does Not Include All Full-Benefit Medicaid enrollees,61841,
MD,Maryland,04/01/2019,Y,U,Y,7986,,84578,Includes Renewals and/or Redeterminations,92564,Includes Renewals and/or Redeterminations,29860,Includes Renewals and/or Redeterminations,2840,Includes Renewals and/or Redeterminations,32700,Includes Renewals and/or Redeterminations,621326,,1320216,,42.2373,-71.5314,"(42.2373, -71.5314)",1165454,,154762,
GA,Georgia,04/01/2019,N,U,Y,43982,,N/A,,43982,,25886,,934,,26820,,1260091,,1837180,,27.8333,-81.717,"(27.8333, -81.717)",1624790,,212390,
NH,New Hampshire,04/01/2019,Y,U,Y,8551,,N/A,,8551,,5057,,522,,5579,,90036,,180751,,47.5362,-99.793,"(47.5362, -99.793)",165822,,14929,
KS,Kansas,04/01/2019,N,U,Y,,,N/A,,,,,,,,,,258436,,371638,,39.8647,-86.2604,"(39.8647, -86.2604)",316462,,55176,
DE,Delaware,04/01/2019,Y,U,Y,2756,,N/A,,2756,,5075,,746,,5821,,105772,,231787,,38.8964,-77.0262,"(38.8964, -77.0262)",220499,,11288,
CA,California,04/01/2019,Y,U,Y,162234,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,162234,,156263,Does Not Include All Medicaid Determinations Made At Application,13817,Does Not Include All CHIP Determinations Made At Application,170080,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4937307,,11824373,,33.7712,-111.3877,"(33.7712, -111.3877)",10509928,,1314445,
NJ,New Jersey,04/01/2019,Y,U,Y,33679,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,33679,Does Not Include All Non-MAGI Applications,20399,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,7848,,28247,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,823569,,1727206,,41.1289,-98.2883,"(41.1289, -98.2883)",1508835,,218371,
UT,Utah,04/01/2019,N,U,Y,21506,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,21506,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",37728,Includes CHIP,,,37728,,193365,,308788,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",266822,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41966,
IA,Iowa,04/01/2019,Y,U,Y,15262,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15262,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1363,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1363,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336680,,673656,,21.1098,-157.5311,"(21.1098, -157.5311)",599888,,73768,
IL,Illinois,04/01/2019,Y,U,Y,66353,,N/A,,66353,,31374,,10307,,41681,,1342083,,2815518,,44.2394,-114.5103,"(44.2394, -114.5103)",2555029,,260489,
AR,Arkansas,04/01/2019,Y,U,Y,21996,,N/A,,21996,,9452,,407,,9859,,374587,,798105,,34.9513,-92.3809,"(34.9513, -92.3809)",765254,,32851,
ND,North Dakota,04/01/2019,Y,U,Y,2456,,N/A,,2456,,2429,,56,,2485,,42373,,90593,,46.9048,-110.3261,"(46.9048, -110.3261)",88472,,2121,
WI,Wisconsin,04/01/2019,N,U,Y,24487,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24487,Does Not Include All Applications for Limited-Benefit Programs,18693,"Count is of Households, Not Individuals",1118,,19811,,506642,,1038232,,37.768,-78.2057,"(37.768, -78.2057)",969497,,68735,
WV,West Virginia,04/01/2019,Y,U,Y,22021,,N/A,,22021,,12440,,707,,13147,,216884,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),516872,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",483689,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33183,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MA,Massachusetts,04/01/2019,Y,U,Y,17626,,1980,,19606,,,,,,,,672748,,1574046,,31.1801,-91.8749,"(31.1801, -91.8749)",1387339,,186707,
FL,Florida,04/01/2019,N,U,Y,278239,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,278239,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,169823,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,20510,,190333,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2455146,,3662149,,39.3498,-75.5148,"(39.3498, -75.5148)",3426817,,235332,
IN,Indiana,04/01/2019,Y,U,Y,94483,,N/A,,94483,,41133,,3676,,44809,,804984,,1467864,,40.3363,-89.0022,"(40.3363, -89.0022)",1355107,,112757,
OH,Ohio,04/01/2019,Y,U,Y,75676,Includes Renewals and/or Redeterminations,N/A,,75676,Includes Renewals and/or Redeterminations,63089,Includes CHIP; Includes Renewals and/or Redeterminations,3481,,66570,Includes Renewals and/or Redeterminations,1182853,,2653809,,38.4199,-117.1219,"(38.4199, -117.1219)",2451023,,202786,
OR,Oregon,04/01/2019,Y,U,Y,13425,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13425,Does Not Include All Non-MAGI Applications,24977,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2942,,27919,Does Not Include All Non-MAGI Determinations Made At Application,418214,,987718,,40.3736,-82.7755,"(40.3736, -82.7755)",858912,,128806,
NE,Nebraska,04/01/2019,N,U,Y,6081,,N/A,,6081,,5799,,857,,6656,,164492,,247318,,35.6411,-79.8431,"(35.6411, -79.8431)",213039,,34279,
AZ,Arizona,04/01/2019,Y,U,Y,101454,,N/A,,101454,,,,,,,,,,1702739,,14.2417,-170.7197,"(14.2417, -170.7197)",1599598,,103141,
OK,Oklahoma,04/01/2019,N,U,Y,40322,Includes Renewals and/or Redeterminations,N/A,,40322,Includes Renewals and/or Redeterminations,40111,Includes Renewals and/or Redeterminations,7751,,47862,Includes Renewals and/or Redeterminations,512858,,731009,,42.1497,-74.9384,"(42.1497, -74.9384)",609442,,121567,
SD,South Dakota,04/01/2019,N,U,Y,2488,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2488,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1396,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1396,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78822,,110889,,18.2766,-66.335,"(18.2766, -66.335)",95114,,15775,
MS,Mississippi,04/01/2019,N,U,Y,18887,,N/A,,18887,,12062,,637,,12699,,421717,,621816,,38.4623,-92.302,"(38.4623, -92.302)",545160,,76656,
