State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Washington,1775614,570882,557025,13857,2019,12,2018,6,"Washington
(47.411715, -120.592492)",
Tennessee,1581281,,,,2019,12,2018,5,"Tennessee
(35.842998, -86.343226)",
Amer. Samoa,27898,,,,2019,12,2018,6,,
Texas,4263212,,,,2019,12,2018,5,"Texas
(31.447238, -99.317341)",
Dist. Of Col.,259746,108718,68205,40513,2019,12,2018,6,,
Utah,296743,,,,2019,12,2018,5,"Utah
(39.323779, -111.678222)",
Wyoming,58109,,,,2019,12,2018,6,"Wyoming
(42.999627, -107.55145)",
Michigan,2437622,688853,634323,54530,2019,12,2018,6,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
North Dakota,93586,20724,19677,1047,2019,12,2018,4,"North Dakota
(47.446305, -100.46931)",
Virgin Islands,24781,10688,,10688,2019,12,2018,6,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Oregon,959170,455830,382941,72889,2019,12,2018,5,"Oregon
(43.940449, -120.605279)",
California,12874106,3763860,3763860,0,2019,12,2018,6,"California
(37.211164, -119.662127)",
New Mexico,838445,251909,251909,0,2019,12,2018,6,"New Mexico
(34.421369, -106.108388)",
New Hampshire,187628,55188,54907,281,2019,12,2018,6,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Connecticut,927503,246015,224785,21230,2019,12,2018,4,"Connecticut
(41.575155, -72.738288)",
Vermont,177694,58404,0,58404,2019,12,2018,5,"Vermont
(44.075252, -72.662695)",
Indiana,1310854,305782,305782,0,2019,12,2018,6,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Nebraska,245882,,,,2019,12,2018,6,"Nebraska
(41.527099, -99.810595)",
Maryland,1235103,312481,312481,0,2019,12,2018,4,"Maryland
(38.946466, -76.687282)",
Washington,1781994,575018,561088,13930,2019,12,2018,5,"Washington
(47.411715, -120.592492)",
Arizona,1870574,414373,106605,307768,2019,12,2018,4,"Arizona
(34.293239, -111.664616)",
Idaho,293894,,,,2019,12,2018,4,"Idaho
(44.389073, -114.659366)",
Nebraska,247880,,,,2019,12,2018,4,"Nebraska
(41.527099, -99.810595)",
Michigan,2444734,697940,638327,59613,2019,12,2018,4,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
California,13008201,3801552,3801552,0,2019,12,2018,5,"California
(37.211164, -119.662127)",
Pennsylvania,2719810,791066,750073,40993,2019,12,2018,4,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Alabama,1024662,,,,2019,12,2018,4,"Alabama
(32.756889, -86.844516)",
Ohio,2968662,613597,613255,342,2019,12,2018,5,"Ohio
(40.415534, -82.70936)",
Arkansas,920752,288909,288507,402,2019,12,2018,5,"Arkansas
(34.899825, -92.439162)",
New Hampshire,188917,55651,55368,283,2019,12,2018,5,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Maine,255517,0,0,0,2019,12,2018,6,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Georgia,1956021,,,,2019,12,2018,4,"Georgia
(32.638481, -83.426574)",
Maryland,1218122,307690,307690,0,2019,12,2018,6,"Maryland
(38.946466, -76.687282)",
N. Mariana Islands,1212,,,,2019,12,2018,4,,
New Mexico,849268,255142,255142,0,2019,12,2018,5,"New Mexico
(34.421369, -106.108388)",
Iowa,603493,164495,150962,13533,2019,12,2018,5,"Iowa
(42.074659, -93.500061)",
Vermont,179154,59183,0,59183,2019,12,2018,4,"Vermont
(44.075252, -72.662695)",
Rhode Island,309440,69553,69553,0,2019,12,2018,5,"Rhode Island
(41.572574, -71.534637)",
Maine,256843,0,0,0,2019,12,2018,4,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Missouri,961840,,,,2019,12,2018,4,"Missouri
(38.3675, -92.477244)",
Montana,258600,97834,97834,0,2019,12,2018,6,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Nevada,601011,215101,215101,0,2019,12,2018,5,"Nevada
(39.283294, -114.916992)",
Puerto Rico,1274306,409807,,409807,2019,12,2018,5,"Puerto Rico
(18.215692, -66.414655)",
West Virginia,540088,167353,167353,0,2019,12,2018,4,"West Virginia
(38.642579, -80.613729)",
Missouri,961679,,,,2019,12,2018,6,"Missouri
(38.3675, -92.477244)",
Amer. Samoa,27898,,,,2019,12,2018,4,,
North Dakota,93042,20443,19426,1017,2019,12,2018,6,"North Dakota
(47.446305, -100.46931)",
Alaska,198425,44328,44304,24,2019,12,2018,4,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Hawaii,324002,117546,21859,95687,2019,12,2018,6,"Hawaii
(21.361013, -157.854309)",
N. Mariana Islands,1416,,,,2019,12,2018,6,,
Kansas,363414,,,,2019,12,2018,6,"Kansas
(38.484729, -98.38018)",
Michigan,2437948,693448,635722,57726,2019,12,2018,5,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Utah,298184,,,,2019,12,2018,4,"Utah
(39.323779, -111.678222)",
Rhode Island,309316,69840,69840,0,2019,12,2018,4,"Rhode Island
(41.572574, -71.534637)",
Tennessee,1578332,,,,2019,12,2018,6,"Tennessee
(35.842998, -86.343226)",
New York,6163144,1936166,302965,1633201,2019,12,2018,4,"New York
(42.921241, -75.59655)",
Virginia,1065420,,,,2019,12,2018,5,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
N. Mariana Islands,1400,,,,2019,12,2018,5,,
Louisiana,1638252,482248,482248,0,2019,12,2018,6,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Virgin Islands,24946,10265,,10265,2019,12,2018,4,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Utah,294788,,,,2019,12,2018,6,"Utah
(39.323779, -111.678222)",
New York,6162629,1933789,302217,1631572,2019,12,2018,5,"New York
(42.921241, -75.59655)",
New Jersey,1692408,566732,566732,0,2019,12,2018,5,"New Jersey
(40.110253, -74.655514)",
Minnesota,1098818,204765,204047,718,2019,12,2018,5,"Minnesota
(46.349153, -94.198308)",
Arkansas,917921,284342,283961,381,2019,12,2018,6,"Arkansas
(34.899825, -92.439162)",
Minnesota,1107289,207469,206853,616,2019,12,2018,4,"Minnesota
(46.349153, -94.198308)",
South Carolina,1254084,,,,2019,12,2018,5,"South Carolina
(33.878572, -80.864614)",
Oklahoma,651361,,,,2019,12,2018,4,"Oklahoma
(35.583449, -97.508297)",
Mississippi,687906,,,,2019,12,2018,5,"Mississippi
(32.713378, -89.65344)",
Louisiana,1650457,483884,483884,0,2019,12,2018,4,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
