State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Amer. Samoa,"28,183",,,,2020,2,2018,12,,
Guam,"36,437","4,151",,"4,151",2020,2,2018,11,"Guam
(13.3532, 144.653198)",
Michigan,"2,420,714","687,460","633,017","54,443",2020,2,2018,12,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Carolina,"1,264,623",,,,2020,2,2018,11,"South Carolina
(33.878572, -80.864614)",
Alabama,"1,030,845",,,,2020,2,2018,10,"Alabama
(32.756889, -86.844516)",
Nevada,"594,711","212,434","212,434",0,2020,2,2018,11,"Nevada
(39.283294, -114.916992)",
Totals,"74,770,615","15,151,153","11,945,738","3,205,415",2020,2,2018,12,,
Alaska,"206,870","50,050","50,046",4,2020,2,2018,12,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,"12,875,160","3,790,254","3,790,254",0,2020,2,2018,10,"California
(37.211164, -119.662127)",
Colorado,"1,267,068","398,485","391,400","7,085",2020,2,2018,12,"Colorado
(38.998552, -105.547832)",
Florida,"3,878,529",,,,2020,2,2018,10,"Florida
(28.260731, -82.420978)",
Totals,"75,799,027","15,335,170","12,058,478","3,275,692",2020,2,2018,10,,
Montana,"254,940","97,832","97,832",0,2020,2,2018,12,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,"640,095",,,,2020,2,2018,12,"Oklahoma
(35.583449, -97.508297)",
Puerto Rico,"1,217,207","402,604",,"402,604",2020,2,2018,10,"Puerto Rico
(18.215692, -66.414655)",
Michigan,"2,428,592","684,432","626,588","57,844",2020,2,2018,10,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
North Dakota,"92,554","20,430","19,429","1,001",2020,2,2018,10,"North Dakota
(47.446305, -100.46931)",
Minnesota,"1,097,796","202,437","201,489",948,2020,2,2018,10,"Minnesota
(46.349153, -94.198308)",
Washington,"1,757,941","560,323","546,598","13,725",2020,2,2018,10,"Washington
(47.411715, -120.592492)",
Idaho,"303,522",,,,2020,2,2018,10,"Idaho
(44.389073, -114.659366)",
West Virginia,"528,207","161,508","161,508",0,2020,2,2018,11,"West Virginia
(38.642579, -80.613729)",
Georgia,"1,945,609",,,,2020,2,2018,12,"Georgia
(32.638481, -83.426574)",
Rhode Island,"308,695","69,511","69,511",0,2020,2,2018,12,"Rhode Island
(41.572574, -71.534637)",
Louisiana,"1,654,528","494,332","494,332",0,2020,2,2018,10,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,"1,512,716",,,,2020,2,2018,10,"Tennessee
(35.842998, -86.343226)",
North Carolina,"2,181,656",,,,2020,2,2018,11,"North Carolina
(35.52603, -79.130883)",
Ohio,"2,858,429","569,651","569,360",291,2020,2,2018,12,"Ohio
(40.415534, -82.70936)",
Alabama,"1,029,480",,,,2020,2,2018,11,"Alabama
(32.756889, -86.844516)",
Maine,"250,778",0,0,0,2020,2,2018,11,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
N. Mariana Islands,"16,334",,,,2020,2,2018,10,,
Virgin Islands,"27,284","12,497",,"12,497",2020,2,2018,12,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Vermont,"172,504","56,993",0,"56,993",2020,2,2018,11,"Vermont
(44.075252, -72.662695)",
Connecticut,"951,730","264,330","240,657","23,673",2020,2,2018,12,"Connecticut
(41.575155, -72.738288)",
Missouri,"903,552",,,,2020,2,2018,11,"Missouri
(38.3675, -92.477244)",
New Jersey,"1,656,601","552,053","552,053",0,2020,2,2018,12,"New Jersey
(40.110253, -74.655514)",
Arkansas,"862,562","264,626","263,881",745,2020,2,2018,11,"Arkansas
(34.899825, -92.439162)",
Kansas,"372,118",,,,2020,2,2018,12,"Kansas
(38.484729, -98.38018)",
New Hampshire,"185,826","54,920","54,637",283,2020,2,2018,11,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,"1,292,585","449,995","449,995",0,2020,2,2018,12,"Kentucky
(37.526683, -85.290484)",
Alaska,"206,088","48,735","48,732",3,2020,2,2018,10,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,"602,886","168,966","154,137","14,829",2020,2,2018,11,"Iowa
(42.074659, -93.500061)",
Colorado,"1,288,644","409,565","402,363","7,202",2020,2,2018,10,"Colorado
(38.998552, -105.547832)",
Arizona,"1,875,585","417,955","106,001","311,954",2020,2,2018,11,"Arizona
(34.293239, -111.664616)",
Arizona,"1,875,915","420,159","106,170","313,989",2020,2,2018,12,"Arizona
(34.293239, -111.664616)",
Montana,"257,807","98,633","98,633",0,2020,2,2018,11,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
South Dakota,"104,100",,,,2020,2,2018,11,"South Dakota
(44.43614, -100.230491)",
Montana,"259,669","99,148","99,148",0,2020,2,2018,10,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,"2,900,621","586,054","585,763",291,2020,2,2018,10,"Ohio
(40.415534, -82.70936)",
Tennessee,"1,509,553",,,,2020,2,2018,12,"Tennessee
(35.842998, -86.343226)",
Hawaii,"315,744","113,064","21,058","92,006",2020,2,2018,11,"Hawaii
(21.361013, -157.854309)",
Maine,"251,140",0,0,0,2020,2,2018,10,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,"1,701,088","334,737",0,"334,737",2020,2,2018,12,"Massachusetts
(42.151077, -71.481104)",
Virginia,"1,082,925",0,0,0,2020,2,2018,12,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,"1,667,572","552,008","552,008",0,2020,2,2018,10,"New Jersey
(40.110253, -74.655514)",
New York,"6,149,602","1,911,261","300,546","1,610,715",2020,2,2018,11,"New York
(42.921241, -75.59655)",
Delaware,"218,580","62,573","9,702","52,871",2020,2,2018,11,"Delaware
(38.994926, -75.452394)",
Oregon,"956,800","458,684","380,477","78,207",2020,2,2018,11,"Oregon
(43.940449, -120.605279)",
Puerto Rico,"1,223,270","400,209",,"400,209",2020,2,2018,12,"Puerto Rico
(18.215692, -66.414655)",
Dist. Of Col.,"260,411","108,584","67,018","41,566",2020,2,2018,10,,
West Virginia,"531,916","162,893","162,893",0,2020,2,2018,10,"West Virginia
(38.642579, -80.613729)",
Wyoming,"56,278",,,,2020,2,2018,12,"Wyoming
(42.999627, -107.55145)",
Missouri,"897,164",,,,2020,2,2018,12,"Missouri
(38.3675, -92.477244)",
Washington,"1,759,134","564,404","550,659","13,745",2020,2,2018,11,"Washington
(47.411715, -120.592492)",
Florida,"3,717,196",,,,2020,2,2018,12,"Florida
(28.260731, -82.420978)",
