State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
TX,Texas,02/01/2019,N,U,Y,118994,,N/A,,118994,,81430,,14508,,95938,,3383051,,4283333,,33.8191,-80.9066,"(33.8191, -80.9066)",3693097,,590236,
SC,South Carolina,02/01/2019,N,U,Y,30421,,N/A,,30421,,6524,Does Not Include All Medicaid Determinations Made At Application,265,Does Not Include All CHIP Determinations Made At Application,6789,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,657843,,1050510,,40.5773,-77.264,"(40.5773, -77.264)",959314,,91196,
NV,Nevada,02/01/2019,Y,U,Y,17472,Includes Renewals and/or Redeterminations,N/A,,17472,Includes Renewals and/or Redeterminations,11326,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",82,,11408,,302407,,633325,,40.314,-74.5089,"(40.314, -74.5089)",591155,,42170,
AK,Alaska,02/01/2019,Y,U,Y,3865,Includes Renewals and/or Redeterminations,N/A,,3865,Includes Renewals and/or Redeterminations,3084,Includes Renewals and/or Redeterminations; Includes CHIP,173,,3257,Includes Renewals and/or Redeterminations,96172,,217468,,61.385,-152.2683,"(61.385, -152.2683)",202090,,15378,
MA,Massachusetts,02/01/2019,Y,U,Y,16552,,1980,,18532,,,,,,,,667528,,1561612,,31.1801,-91.8749,"(31.1801, -91.8749)",1375444,,186168,
IA,Iowa,02/01/2019,Y,U,Y,13883,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13883,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1191,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1191,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336722,,673768,,21.1098,-157.5311,"(21.1098, -157.5311)",600257,,73511,
NC,North Carolina,02/01/2019,N,U,Y,20480,,N/A,,20480,,30780,,3808,,34588,,1185189,,1754170,,32.7673,-89.6812,"(32.7673, -89.6812)",1492301,,261869,
NY,New York,02/01/2019,Y,U,Y,,,739497,,739497,,152115,,6170,,158285,,2443874,,6123733,,34.8375,-106.2371,"(34.8375, -106.2371)",5549740,,573993,
CO,Colorado,02/01/2019,Y,U,Y,22554,,100,,22654,,19023,,380,,19403,,588837,,1319221,,36.17,-119.7462,"(36.17, -119.7462)",1236788,,82433,
UT,Utah,02/01/2019,N,U,Y,17043,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17043,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",35290,Includes CHIP,,,35290,,194187,,287932,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",244379,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,43553,
PA,Pennsylvania,02/01/2019,Y,U,Y,83044,Includes Renewals and/or Redeterminations,N/A,,83044,Includes Renewals and/or Redeterminations,78044,Includes Renewals and/or Redeterminations,9391,,87435,Includes Renewals and/or Redeterminations,1395796,,2962054,,35.5376,-96.9247,"(35.5376, -96.9247)",2781084,,180970,
NH,New Hampshire,02/01/2019,Y,U,Y,7106,,N/A,,7106,,4232,,416,,4648,,90588,,182131,,47.5362,-99.793,"(47.5362, -99.793)",166972,,15159,
WA,Washington,02/01/2019,Y,U,Y,56162,,64862,,121024,,78296,,1490,,79786,,825805,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1723417,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1652983,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70434,
KS,Kansas,02/01/2019,N,U,Y,,,N/A,,,,,,,,,,264506,,380638,,39.8647,-86.2604,"(39.8647, -86.2604)",324594,,56044,
RI,Rhode Island,02/01/2019,Y,U,Y,1982,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1982,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2943,,406,,3349,,122340,,305218,,44.5672,-122.1269,"(44.5672, -122.1269)",272489,,32729,
ND,North Dakota,02/01/2019,Y,U,Y,1810,,N/A,,1810,,1791,,45,,1836,,43014,,90765,,46.9048,-110.3261,"(46.9048, -110.3261)",88622,,2143,
LA,Louisiana,02/01/2019,Y,U,Y,28824,,N/A,,28824,,19786,,1385,,21171,,751922,,1593351,,37.669,-84.6514,"(37.669, -84.6514)",1458268,,135083,
IL,Illinois,02/01/2019,Y,U,Y,61362,,N/A,,61362,,22839,,7498,,30337,,1344018,,2824308,,44.2394,-114.5103,"(44.2394, -114.5103)",2569171,,255137,
WI,Wisconsin,02/01/2019,N,U,Y,21945,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,21945,Does Not Include All Applications for Limited-Benefit Programs,16293,"Count is of Households, Not Individuals",1074,,17367,,505919,,1033735,,37.768,-78.2057,"(37.768, -78.2057)",962566,,71169,
VA,Virginia,02/01/2019,Y,U,Y,30071,Includes Renewals and/or Redeterminations,N/A,,30071,Includes Renewals and/or Redeterminations,23999,Includes Renewals and/or Redeterminations,688,Includes Renewals and/or Redeterminations,24687,Includes Renewals and/or Redeterminations,713535,,1251260,,35.7449,-86.7489,"(35.7449, -86.7489)",1108915,,142345,
AL,Alabama,02/01/2019,N,U,Y,18173,,N/A,,18173,,14284,,2069,,16353,,656131,,919053,,32.799,-86.8073,"(32.799, -86.8073)",745164,,173889,
DE,Delaware,02/01/2019,Y,U,Y,2606,,N/A,,2606,,4381,,659,,5040,,106426,,232772,,38.8964,-77.0262,"(38.8964, -77.0262)",221237,,11535,
AZ,Arizona,02/01/2019,Y,U,Y,94300,,N/A,,94300,,,,,,,,,,1701411,,14.2417,-170.7197,"(14.2417, -170.7197)",1596840,,104571,
KY,Kentucky,02/01/2019,Y,U,Y,8617,,,,8617,,16600,,1642,,18242,,554612,,1314153,,38.5111,-96.8005,"(38.5111, -96.8005)",1220517,,93636,
NJ,New Jersey,02/01/2019,Y,U,Y,35770,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,35770,Does Not Include All Non-MAGI Applications,14555,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application,8877,,23432,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,820349,,1727697,,41.1289,-98.2883,"(41.1289, -98.2883)",1514473,,213224,
MS,Mississippi,02/01/2019,N,U,Y,18313,,N/A,,18313,,11632,,707,,12339,,422039,,621825,,38.4623,-92.302,"(38.4623, -92.302)",545297,,76528,
CA,California,02/01/2019,Y,U,Y,160957,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,160957,,149920,Does Not Include All Medicaid Determinations Made At Application,14302,Does Not Include All CHIP Determinations Made At Application,164222,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4962936,,11884268,,33.7712,-111.3877,"(33.7712, -111.3877)",10573509,,1310759,
TN,Tennessee,02/01/2019,N,U,Y,,,N/A,,,,,,,,,,,,1431593,,41.6772,-71.5101,"(41.6772, -71.5101)",1377356,,54237,
DC,District of Columbia,02/01/2019,Y,U,Y,1484,Includes SBM data,1613,,3097,Includes Renewals and/or Redeterminations,3141,Includes Renewals and/or Redeterminations; Includes CHIP,,,3141,,,,253906,,41.5834,-72.7622,"(41.5834, -72.7622)",237455,,16451,
NM,New Mexico,02/01/2019,Y,U,Y,11068,,N/A,,11068,,15844,,1451,,17295,,330068,Includes Limited-Benefit Enrollees,728697,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",691140,Includes Limited-Benefit Enrollees,37557,
NE,Nebraska,02/01/2019,N,U,Y,6159,,N/A,,6159,,4982,,854,,5836,,164696,,247508,,35.6411,-79.8431,"(35.6411, -79.8431)",212330,,35178,
VT,Vermont,02/01/2019,Y,U,Y,5062,,1067,,6129,Includes Renewals and/or Redeterminations,5035,Includes Renewals and/or Redeterminations,176,,5211,,62720,,157910,,31.106,-97.6475,"(31.106, -97.6475)",153307,,4603,
OK,Oklahoma,02/01/2019,N,U,Y,42977,Includes Renewals and/or Redeterminations,N/A,,42977,Includes Renewals and/or Redeterminations,40244,Includes Renewals and/or Redeterminations,8769,,49013,Includes Renewals and/or Redeterminations,511100,,729622,,42.1497,-74.9384,"(42.1497, -74.9384)",604453,,125169,
MT,Montana,02/01/2019,Y,U,Y,3238,,N/A,,3238,,3737,,420,,4157,,128093,,280624,,14.8058,145.5505,"(14.8058, 145.5505)",251191,,29433,
MI,Michigan,02/01/2019,Y,U,Y,44693,,N/A,,44693,,43120,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1687,,44807,,956102,Does Not Include All Full-Benefit Child Medicaid enrollees,2356612,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2295266,Does Not Include All Full-Benefit Medicaid enrollees,61346,
