State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Massachusetts,1442299,334027,0,334027,2020,2,2019,4,"Massachusetts
(42.151077, -71.481104)",
Maryland,1229390,310031,310031,0,2020,2,2019,6,"Maryland
(38.946466, -76.687282)",
California,12693315,3768859,3762176,6683,2020,2,2019,4,"California
(37.211164, -119.662127)",
Georgia,1962735,,,,2020,2,2019,6,"Georgia
(32.638481, -83.426574)",
Michigan,2385506,671648,625194,46454,2020,2,2019,6,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Florida,3813445,,,,2020,2,2019,4,"Florida
(28.260731, -82.420978)",
Dist. Of Col.,260350,107478,66313,41165,2020,2,2019,5,,
Virgin Islands,28835,13376,,13376,2020,2,2019,5,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
North Dakota,91090,20369,19419,950,2020,2,2019,4,"North Dakota
(47.446305, -100.46931)",
Pennsylvania,2859247,771932,732808,39124,2020,2,2019,5,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Wisconsin,1182357,,,,2020,2,2019,6,"Wisconsin
(44.639954, -89.732969)",
Rhode Island,301535,66641,66641,0,2020,2,2019,4,"Rhode Island
(41.572574, -71.534637)",
Puerto Rico,1240935,424284,,424284,2020,2,2019,4,"Puerto Rico
(18.215692, -66.414655)",
Rhode Island,300970,66686,66686,0,2020,2,2019,6,"Rhode Island
(41.572574, -71.534637)",
Illinois,2566110,655276,547918,107358,2020,2,2019,6,"Illinois
(40.124144, -89.148632)",
California,12611814,3741920,3732198,9722,2020,2,2019,5,"California
(37.211164, -119.662127)",
Kansas,350174,,,,2020,2,2019,5,"Kansas
(38.484729, -98.38018)",
North Dakota,89590,19908,18981,927,2020,2,2019,5,"North Dakota
(47.446305, -100.46931)",
Texas,4152831,,,,2020,2,2019,4,"Texas
(31.447238, -99.317341)",
Nebraska,245121,,,,2020,2,2019,4,"Nebraska
(41.527099, -99.810595)",
Texas,4126343,,,,2020,2,2019,6,"Texas
(31.447238, -99.317341)",
Amer. Samoa,37829,,,,2020,2,2019,4,,
Illinois,2611653,669227,561633,107594,2020,2,2019,4,"Illinois
(40.124144, -89.148632)",
Arizona,1861477,423482,105668,317814,2020,2,2019,6,"Arizona
(34.293239, -111.664616)",
Maryland,1227887,310074,310074,0,2020,2,2019,5,"Maryland
(38.946466, -76.687282)",
Iowa,605338,172015,157117,14898,2020,2,2019,5,"Iowa
(42.074659, -93.500061)",
Vermont,168055,55333,0,55333,2020,2,2019,5,"Vermont
(44.075252, -72.662695)",
Kansas,341484,,,,2020,2,2019,6,"Kansas
(38.484729, -98.38018)",
New York,6067467,1881383,301405,1579978,2020,2,2019,6,"New York
(42.921241, -75.59655)",
South Carolina,1260731,,,,2020,2,2019,5,"South Carolina
(33.878572, -80.864614)",
New Mexico,834204,258061,258061,0,2020,2,2019,4,"New Mexico
(34.421369, -106.108388)",
Montana,252830,95805,95805,0,2020,2,2019,6,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Colorado,1235646,378962,371819,7143,2020,2,2019,4,"Colorado
(38.998552, -105.547832)",
Georgia,1960778,,,,2020,2,2019,4,"Georgia
(32.638481, -83.426574)",
Massachusetts,1455990,336735,0,336735,2020,2,2019,6,"Massachusetts
(42.151077, -71.481104)",
Wyoming,55709,,,,2020,2,2019,4,"Wyoming
(42.999627, -107.55145)",
Wisconsin,1183194,,,,2020,2,2019,5,"Wisconsin
(44.639954, -89.732969)",
Wisconsin,1183431,,,,2020,2,2019,4,"Wisconsin
(44.639954, -89.732969)",
Guam,35692,4193,,4193,2020,2,2019,5,"Guam
(13.3532, 144.653198)",
N. Mariana Islands,16446,,,,2020,2,2019,5,,
Virgin Islands,29033,13514,,13514,2020,2,2019,6,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
West Virginia,522211,161875,161875,0,2020,2,2019,5,"West Virginia
(38.642579, -80.613729)",
Ohio,2828477,555348,555079,269,2020,2,2019,4,"Ohio
(40.415534, -82.70936)",
Wyoming,54259,,,,2020,2,2019,6,"Wyoming
(42.999627, -107.55145)",
Oregon,963477,464391,382716,81675,2020,2,2019,5,"Oregon
(43.940449, -120.605279)",
Oklahoma,639764,,,,2020,2,2019,4,"Oklahoma
(35.583449, -97.508297)",
Michigan,2419259,690711,639880,50831,2020,2,2019,4,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Connecticut,950722,266719,242640,24079,2020,2,2019,4,"Connecticut
(41.575155, -72.738288)",
Virgin Islands,28626,13248,,13248,2020,2,2019,4,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Minnesota,1060628,190089,189186,903,2020,2,2019,5,"Minnesota
(46.349153, -94.198308)",
Delaware,218326,62429,9542,52887,2020,2,2019,5,"Delaware
(38.994926, -75.452394)",
Nebraska,243894,,,,2020,2,2019,5,"Nebraska
(41.527099, -99.810595)",
Florida,3771711,,,,2020,2,2019,6,"Florida
(28.260731, -82.420978)",
Missouri,847272,,,,2020,2,2019,6,"Missouri
(38.3675, -92.477244)",
Kentucky,1288626,449500,449500,0,2020,2,2019,4,"Kentucky
(37.526683, -85.290484)",
