State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
CT,Connecticut,01/01/2020,Y,U,Y,6043,,16312,,22355,,20333,,514,,20847,,332514,,847119,,39.0646,-105.3272,"(39.0646, -105.3272)",826738,,20381,
VT,Vermont,01/01/2020,Y,U,Y,3162,,1624,,4786,Includes Renewals and/or Redeterminations,5423,Includes Renewals and/or Redeterminations,221,,5644,,60856,,150895,,31.106,-97.6475,"(31.106, -97.6475)",146168,,4727,
MN,Minnesota,01/01/2020,Y,U,Y,6919,,25691,,32610,,24244,,68,,24312,,529331,,1040843,,43.3504,-84.5603,"(43.3504, -84.5603)",1039392,,1451,
FL,Florida,01/01/2020,N,U,Y,319373,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,319373,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,176679,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23653,,200332,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2412646,,3601113,,39.3498,-75.5148,"(39.3498, -75.5148)",3364100,,237013,
MD,Maryland,01/01/2020,Y,U,Y,7650,,91251,Includes Renewals and/or Redeterminations,98901,Includes Renewals and/or Redeterminations,42618,Includes Renewals and/or Redeterminations,7040,Includes Renewals and/or Redeterminations,49658,Includes Renewals and/or Redeterminations,621254,,1329134,,42.2373,-71.5314,"(42.2373, -71.5314)",1188200,,140934,
MS,Mississippi,01/01/2020,N,U,Y,20547,,N/A,,20547,,13346,,952,,14298,,418537,,616266,,38.4623,-92.302,"(38.4623, -92.302)",538966,,77300,
NC,North Carolina,01/01/2020,N,U,Y,29422,,N/A,,29422,,32901,,3688,,36589,,1187876,,1767109,,32.7673,-89.6812,"(32.7673, -89.6812)",1487202,,279907,
CA,California,01/01/2020,Y,U,Y,220943,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,220943,,166823,Does Not Include All Medicaid Determinations Made At Application,15041,Does Not Include All CHIP Determinations Made At Application,181864,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4815946,,11614902,,33.7712,-111.3877,"(33.7712, -111.3877)",10300580,,1314322,
MT,Montana,01/01/2020,Y,U,Y,5547,,N/A,,5547,,5150,,645,,5795,,118042,,258898,,14.8058,145.5505,"(14.8058, 145.5505)",231625,,27273,
NE,Nebraska,01/01/2020,N,U,Y,7144,,N/A,,7144,,6453,,1206,,7659,,165238,,247737,,35.6411,-79.8431,"(35.6411, -79.8431)",212229,,35508,
