State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
KY,Kentucky,02/01/2020,Y,U,Y,9473,,,,9473,,,,1437,,1437,,547576,,1288129,,38.5111,-96.8005,"(38.5111, -96.8005)",1193114,,95015,
OK,Oklahoma,02/01/2020,N,U,Y,32046,Includes Renewals and/or Redeterminations,N/A,,32046,Includes Renewals and/or Redeterminations,41947,Includes Renewals and/or Redeterminations,8800,,50747,Includes Renewals and/or Redeterminations,502359,,716566,,42.1497,-74.9384,"(42.1497, -74.9384)",593369,,123197,
ND,North Dakota,02/01/2020,Y,U,Y,1912,,N/A,,1912,,2316,,98,,2414,,42563,,89991,,46.9048,-110.3261,"(46.9048, -110.3261)",87760,,2231,
IL,Illinois,02/01/2020,Y,U,Y,59212,,N/A,,59212,,92189,,,,92189,,1347284,,2829625,,44.2394,-114.5103,"(44.2394, -114.5103)",2553516,,276109,
AL,Alabama,02/01/2020,N,U,Y,12237,,N/A,,12237,,13411,,1609,,15020,,669330,,931235,,32.799,-86.8073,"(32.799, -86.8073)",759821,,171414,
RI,Rhode Island,02/01/2020,Y,U,Y,1282,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1282,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1716,,103,,1819,,116420,,289944,,44.5672,-122.1269,"(44.5672, -122.1269)",256120,,33824,
WA,Washington,02/01/2020,Y,U,Y,62909,,65048,,127957,,87813,,1553,,89366,,819426,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1711577,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1640189,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),71388,
DC,District of Columbia,02/01/2020,Y,U,Y,4945,Includes SBM data,3769,,8714,Includes Renewals and/or Redeterminations,5208,Includes Renewals and/or Redeterminations; Includes CHIP,,,5208,,,,241057,,41.5834,-72.7622,"(41.5834, -72.7622)",224250,,16807,
CO,Colorado,02/01/2020,Y,U,Y,23534,,99,,23633,,19177,,310,,19487,,567677,,1277583,,36.17,-119.7462,"(36.17, -119.7462)",1198313,,79270,
NV,Nevada,02/01/2020,Y,U,Y,18495,Includes Renewals/Or redeterminations,N/A,,18495,Includes Renewals/Or redeterminations,11672,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",66,,11738,,295392,,625358,,40.314,-74.5089,"(40.314, -74.5089)",584188,,41170,
