State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MA,Massachusetts,03/01/2019,Y,U,Y,18530,,2080,,20610,,,,,,,,669697,,1567177,,31.1801,-91.8749,"(31.1801, -91.8749)",1381476,,185701,
VT,Vermont,03/01/2019,Y,U,Y,2776,,1596,,4372,Includes Renewals and/or Redeterminations,5671,Includes Renewals and/or Redeterminations,169,,5840,,62630,,156965,,31.106,-97.6475,"(31.106, -97.6475)",152289,,4676,
WI,Wisconsin,03/01/2019,N,U,Y,23804,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23804,Does Not Include All Applications for Limited-Benefit Programs,17498,"Count is of Households, Not Individuals",1055,,18553,,502469,,1028591,,37.768,-78.2057,"(37.768, -78.2057)",961553,,67038,
AL,Alabama,03/01/2019,N,U,Y,18688,,N/A,,18688,,15347,,1967,,17314,,655420,,918238,,32.799,-86.8073,"(32.799, -86.8073)",744859,,173379,
SD,South Dakota,03/01/2019,N,U,Y,2397,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2397,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1321,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1321,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78888,,110982,,18.2766,-66.335,"(18.2766, -66.335)",95058,,15924,
MS,Mississippi,03/01/2019,N,U,Y,19291,,N/A,,19291,,12827,,644,,13471,,421932,,621824,,38.4623,-92.302,"(38.4623, -92.302)",545168,,76656,
NV,Nevada,03/01/2019,Y,U,Y,19560,Includes Renewals and/or Redeterminations,N/A,,19560,Includes Renewals and/or Redeterminations,12602,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",88,,12690,,301364,,632884,,40.314,-74.5089,"(40.314, -74.5089)",590585,,42299,
AR,Arkansas,03/01/2019,Y,U,Y,20328,,N/A,,20328,,9410,,444,,9854,,372234,,793914,,34.9513,-92.3809,"(34.9513, -92.3809)",761756,,32158,
ND,North Dakota,03/01/2019,Y,U,Y,2721,,N/A,,2721,,1875,,36,,1911,,43254,,91995,,46.9048,-110.3261,"(46.9048, -110.3261)",89842,,2153,
OK,Oklahoma,03/01/2019,N,U,Y,42114,Includes Renewals and/or Redeterminations,N/A,,42114,Includes Renewals and/or Redeterminations,38379,Includes Renewals and/or Redeterminations,7912,,46291,Includes Renewals and/or Redeterminations,507790,,724011,,42.1497,-74.9384,"(42.1497, -74.9384)",603925,,120086,
IN,Indiana,03/01/2019,Y,U,Y,96587,,N/A,,96587,,37569,,3227,,40796,,806094,,1466847,,40.3363,-89.0022,"(40.3363, -89.0022)",1353101,,113746,
OR,Oregon,03/01/2019,Y,U,Y,13251,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13251,Does Not Include All Non-MAGI Applications,24999,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",3123,,28122,Does Not Include All Non-MAGI Determinations Made At Application,418372,,988001,,40.3736,-82.7755,"(40.3736, -82.7755)",859392,,128609,
NE,Nebraska,03/01/2019,N,U,Y,5919,,N/A,,5919,,5397,,871,,6268,,164696,,247508,,35.6411,-79.8431,"(35.6411, -79.8431)",212330,,35178,
AZ,Arizona,03/01/2019,Y,U,Y,102019,,N/A,,102019,,,,,,,,,,1703074,,14.2417,-170.7197,"(14.2417, -170.7197)",1598692,,104382,
WA,Washington,03/01/2019,Y,U,Y,68386,,72120,,140506,,99497,,1686,,101183,,825843,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1719703,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1648049,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),71654,
