State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NY,New York,08/01/2019,Y,U,Y,,,774701,,774701,,117313,,9654,,126967,,2418395,,6074851,,34.8375,-106.2371,"(34.8375, -106.2371)",5482585,,592266,
RI,Rhode Island,08/01/2019,Y,U,Y,1875,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1875,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2915,,413,,3328,,119943,,301223,,44.5672,-122.1269,"(44.5672, -122.1269)",268738,,32485,
CA,California,08/01/2019,Y,U,Y,173329,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,173329,,168543,Does Not Include All Medicaid Determinations Made At Application,13305,Does Not Include All CHIP Determinations Made At Application,181848,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4908538,,11752681,,33.7712,-111.3877,"(33.7712, -111.3877)",10444841,,1307840,
NM,New Mexico,08/01/2019,Y,U,Y,13246,,N/A,,13246,,20929,,2060,,22989,,329326,Includes Limited-Benefit Enrollees,732432,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",695210,Includes Limited-Benefit Enrollees,37222,
IN,Indiana,08/01/2019,Y,U,Y,101819,,N/A,,101819,,39350,,3292,,42642,,802999,,1467723,,40.3363,-89.0022,"(40.3363, -89.0022)",1355872,,111851,
MD,Maryland,08/01/2019,Y,U,Y,7098,,92009,Includes Renewals and/or Redeterminations,99107,Includes Renewals and/or Redeterminations,38840,Includes Renewals and/or Redeterminations,4117,Includes Renewals and/or Redeterminations,42957,Includes Renewals and/or Redeterminations,622556,,1328343,,42.2373,-71.5314,"(42.2373, -71.5314)",1179451,,148892,
OR,Oregon,08/01/2019,Y,U,Y,12651,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12651,Does Not Include All Non-MAGI Applications,21686,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2364,,24050,Does Not Include All Non-MAGI Determinations Made At Application,415366,,986569,,40.3736,-82.7755,"(40.3736, -82.7755)",858240,,128329,
NE,Nebraska,08/01/2019,N,U,Y,6459,,N/A,,6459,,6434,,1048,,7482,,164235,,246846,,35.6411,-79.8431,"(35.6411, -79.8431)",212815,,34031,
TN,Tennessee,08/01/2019,N,U,Y,18461,,N/A,,18461,,16439,,2211,,18650,,816400,,1431372,,41.6772,-71.5101,"(41.6772, -71.5101)",1343280,,88092,
NV,Nevada,08/01/2019,Y,U,Y,20879,Includes Renewals/Or redeterminations,N/A,,20879,Includes Renewals/Or redeterminations,13112,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",70,,13182,,299108,,631562,,40.314,-74.5089,"(40.314, -74.5089)",591682,,39880,
DE,Delaware,08/01/2019,Y,U,Y,3024,,N/A,,3024,,5115,,802,,5917,,105786,,231646,,38.8964,-77.0262,"(38.8964, -77.0262)",220222,,11424,
KY,Kentucky,08/01/2019,Y,U,Y,10148,,,,10148,,18239,,1816,,20055,,552970,,1308837,,38.5111,-96.8005,"(38.5111, -96.8005)",1218284,,90553,
LA,Louisiana,08/01/2019,Y,U,Y,34144,,N/A,,34144,,20836,,2448,,23284,,727627,,1527029,,37.669,-84.6514,"(37.669, -84.6514)",1408968,,118061,
SC,South Carolina,08/01/2019,N,U,Y,25900,,N/A,,25900,,8348,Does not Include All Medicaid Determinations made at Applications,245,Does not Include All CHIP Determinations made at Applications,8593,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,662962,,1058179,,40.5773,-77.264,"(40.5773, -77.264)",965712,,92467,
WI,Wisconsin,08/01/2019,N,U,Y,25595,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,25595,Does Not Include All Applications for Limited-Benefit Programs,18194,"Count is of Households, Not Individuals",1040,,19234,,507858,,1043194,,37.768,-78.2057,"(37.768, -78.2057)",974545,,68649,
WV,West Virginia,08/01/2019,Y,U,Y,20088,,N/A,,20088,,12774,,759,,13533,,216459,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),516360,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",482404,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33956,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
OH,Ohio,08/01/2019,Y,U,Y,72406,Includes Renewals and/or Redeterminations,N/A,,72406,Includes Renewals and/or Redeterminations,59085,Includes CHIP; Includes Renewals and/or Redeterminations,3343,,62428,Includes Renewals and/or Redeterminations,1171105,,2635260,,38.4199,-117.1219,"(38.4199, -117.1219)",2438662,,196598,
ME,Maine,08/01/2019,Y,U,Y,6807,,N/A,,6807,,12005,,674,,12679,,104702,,225576,,39.0724,-76.7902,"(39.0724, -76.7902)",214108,,11468,
MT,Montana,08/01/2019,Y,U,Y,4626,,N/A,,4626,,4632,,495,,5127,,123587,,268150,,14.8058,145.5505,"(14.8058, 145.5505)",239523,,28627,
CT,Connecticut,08/01/2019,Y,U,Y,5535,,12187,,17722,,16383,,447,,16830,,334971,,855505,,39.0646,-105.3272,"(39.0646, -105.3272)",835429,,20076,
TX,Texas,08/01/2019,N,U,Y,148450,,N/A,,148450,,104120,,15608,,119728,,3318089,,4216809,,33.8191,-80.9066,"(33.8191, -80.9066)",3641993,,574816,
VT,Vermont,08/01/2019,Y,U,Y,2816,,1325,,4141,Includes Renewals and/or Redeterminations,5418,Includes Renewals and/or Redeterminations,151,,5569,,61918,,154020,,31.106,-97.6475,"(31.106, -97.6475)",149608,,4412,
KS,Kansas,08/01/2019,N,U,Y,,,N/A,,,,,,,,,,259898,,372977,,39.8647,-86.2604,"(39.8647, -86.2604)",317370,,55607,
DC,District of Columbia,08/01/2019,Y,U,Y,4098,Includes SBM data,2485,,6583,Includes Renewals and/or Redeterminations,4137,Includes Renewals and/or Redeterminations; Includes CHIP,,,4137,,,,255973,,41.5834,-72.7622,"(41.5834, -72.7622)",238735,,17238,
