State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
CO,Colorado,12/01/2019,Y,U,Y,27684,,180,,27864,,21809,,383,,22192,,571623,,1286739,,36.17,-119.7462,"(36.17, -119.7462)",1207844,,78895,
NV,Nevada,12/01/2019,Y,U,Y,22368,Includes Renewals/Or redeterminations,N/A,,22368,Includes Renewals/Or redeterminations,13073,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",72,,13145,,295323,,626078,,40.314,-74.5089,"(40.314, -74.5089)",586138,,39940,
AL,Alabama,12/01/2019,N,U,Y,12103,,N/A,,12103,,12072,,1289,,13361,,666736,,928671,,32.799,-86.8073,"(32.799, -86.8073)",755308,,173363,
CT,Connecticut,12/01/2019,Y,U,Y,5304,,20612,,25916,,17605,,678,,18283,,332715,,850657,,39.0646,-105.3272,"(39.0646, -105.3272)",830030,,20627,
DC,District of Columbia,12/01/2019,Y,U,Y,3814,Includes SBM data,3117,,6931,Includes Renewals and/or Redeterminations,3775,Includes Renewals and/or Redeterminations; Includes CHIP,,,3775,,,,253355,,41.5834,-72.7622,"(41.5834, -72.7622)",235834,,17521,
WY,Wyoming,12/01/2019,N,U,Y,1607,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1607,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,978,,88,,1066,,37074,,55974,,44.0407,-72.7093,"(44.0407, -72.7093)",51613,,4361,
UT,Utah,12/01/2019,N,U,Y,17416,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17416,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39188,Includes CHIP,,,39188,,185160,,309812,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",268236,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41576,
NJ,New Jersey,12/01/2019,Y,U,Y,39094,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,39094,Does Not Include All Non-MAGI Applications,17383,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,5284,,22667,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,812183,,1706298,,41.1289,-98.2883,"(41.1289, -98.2883)",1476344,,229954,
RI,Rhode Island,12/01/2019,Y,U,Y,2065,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2065,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2333,,154,,2487,,116855,,292050,,44.5672,-122.1269,"(44.5672, -122.1269)",258860,,33190,
NM,New Mexico,12/01/2019,Y,U,Y,12483,,N/A,,12483,,15925,,1970,,17895,,326851,Includes Limited-Benefit Enrollees,743645,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",704474,Includes Limited-Benefit Enrollees,39171,
ME,Maine,12/01/2019,Y,U,Y,6375,,N/A,,6375,,9740,,638,,10378,,103397,,223129,,39.0724,-76.7902,"(39.0724, -76.7902)",211253,,11876,
KS,Kansas,12/01/2019,N,U,Y,,,N/A,,,,,,,,,,261537,,376289,,39.8647,-86.2604,"(39.8647, -86.2604)",318232,,58057,
ID,Idaho,12/01/2019,Y,U,Y,19471,,,,19471,,8308,,839,,9147,,190135,,267602,,42.0046,-93.214,"(42.0046, -93.214)",241549,,26053,
IL,Illinois,12/01/2019,Y,U,Y,74416,,N/A,,74416,,24913,,7889,,32802,,1342553,,2812371,,44.2394,-114.5103,"(44.2394, -114.5103)",2532557,,279814,
WI,Wisconsin,12/01/2019,N,U,Y,23169,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23169,Does Not Include All Applications for Limited-Benefit Programs,20690,"Count is of Households, Not Individuals",2003,,22693,,505082,,1046309,,37.768,-78.2057,"(37.768, -78.2057)",976010,,70299,
NY,New York,12/01/2019,Y,U,Y,,,1139902,Includes Renewals and/or Redeterminations,1139902,Includes Renewals and/or Redeterminations,106158,Includes Renewals and/or Redeterminations,8204,Includes Renewals and/or Redeterminations,114362,Includes Renewals and/or Redeterminations,2393142,,5997950,,34.8375,-106.2371,"(34.8375, -106.2371)",5394013,,603937,
VA,Virginia,12/01/2019,Y,U,Y,28048,Includes Renewals and/or Redeterminations,N/A,,28048,Includes Renewals and/or Redeterminations,66037,Includes Renewals and/or Redeterminations,1313,Includes Renewals and/or Redeterminations,67350,Includes Renewals and/or Redeterminations,753802,,1414239,,35.7449,-86.7489,"(35.7449, -86.7489)",1258915,,155324,
KY,Kentucky,12/01/2019,Y,U,Y,8142,,,,8142,,,,1620,,1620,,546166,,1288288,,38.5111,-96.8005,"(38.5111, -96.8005)",1195025,,93263,
