State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
SD,South Dakota,05/01/2019,N,U,Y,2657,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2657,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1538,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1538,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78976,,111113,,18.2766,-66.335,"(18.2766, -66.335)",95460,,15653,
WA,Washington,05/01/2019,Y,U,Y,68679,,69696,,138375,,98868,,1698,,100566,,822580,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1711475,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1645081,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),66394,
OH,Ohio,05/01/2019,Y,U,Y,71825,Includes Renewals and/or Redeterminations,N/A,,71825,Includes Renewals and/or Redeterminations,61003,Includes CHIP; Includes Renewals and/or Redeterminations,3108,,64111,Includes Renewals and/or Redeterminations,1182769,,2657633,,38.4199,-117.1219,"(38.4199, -117.1219)",2456295,,201338,
WV,West Virginia,05/01/2019,Y,U,Y,19989,,N/A,,19989,,10977,,558,,11535,,216568,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),516262,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",483018,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33244,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
UT,Utah,05/01/2019,N,U,Y,18785,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,18785,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39487,Includes CHIP,,,39487,,192458,,309977,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",268297,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41680,
MS,Mississippi,05/01/2019,N,U,Y,19070,,N/A,,19070,,12448,,561,,13009,,420943,,620955,,38.4623,-92.302,"(38.4623, -92.302)",544239,,76716,
AR,Arkansas,05/01/2019,Y,U,Y,20625,,N/A,,20625,,8729,,361,,9090,,372110,,795017,,34.9513,-92.3809,"(34.9513, -92.3809)",762210,,32807,
MA,Massachusetts,05/01/2019,Y,U,Y,17991,,1911,,19902,,14830,,875,,15705,,672655,,1578285,,31.1801,-91.8749,"(31.1801, -91.8749)",1393009,,185276,
IN,Indiana,05/01/2019,Y,U,Y,82180,,N/A,,82180,,35265,,3085,,38350,,802005,,1463977,,40.3363,-89.0022,"(40.3363, -89.0022)",1351729,,112248,
HI,Hawaii,05/01/2019,Y,U,Y,4842,,N/A,,4842,,5631,,379,,6010,,140263,,329422,,32.9866,-83.6487,"(32.9866, -83.6487)",304001,,25421,
KS,Kansas,05/01/2019,N,U,Y,,,N/A,,,,,,,,,,259128,,371887,,39.8647,-86.2604,"(39.8647, -86.2604)",316672,,55215,
AZ,Arizona,05/01/2019,Y,U,Y,108127,,N/A,,108127,,,,,,,,,,1697945,,14.2417,-170.7197,"(14.2417, -170.7197)",1596372,,101573,
TN,Tennessee,05/01/2019,N,U,Y,15100,,N/A,,15100,,9099,,1907,,11006,,818363,,1426587,,41.6772,-71.5101,"(41.6772, -71.5101)",1348448,,78139,
FL,Florida,05/01/2019,N,U,Y,258610,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,258610,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,166154,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,20694,,186848,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2450258,,3654076,,39.3498,-75.5148,"(39.3498, -75.5148)",3417122,,236954,
CO,Colorado,05/01/2019,Y,U,Y,22969,,115,,23084,,19573,,358,,19931,,583680,,1301347,,36.17,-119.7462,"(36.17, -119.7462)",1217813,,83534,
MN,Minnesota,05/01/2019,Y,U,Y,6144,,19279,,25423,,18751,,48,,18799,,528293,,1047145,,43.3504,-84.5603,"(43.3504, -84.5603)",1045879,,1266,
AL,Alabama,05/01/2019,N,U,Y,12966,,N/A,,12966,,13388,,1542,,14930,,651376,,915187,,32.799,-86.8073,"(32.799, -86.8073)",744747,,170440,
ME,Maine,05/01/2019,Y,U,Y,7317,,N/A,,7317,,11771,,673,,12444,,106538,,226873,,39.0724,-76.7902,"(39.0724, -76.7902)",215724,,11149,
NC,North Carolina,05/01/2019,N,U,Y,21538,,N/A,,21538,,30746,,3144,,33890,,1180076,,1745341,,32.7673,-89.6812,"(32.7673, -89.6812)",1479350,,265991,
WY,Wyoming,05/01/2019,N,U,Y,1490,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1490,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,808,,45,,853,,37613,,56608,,44.0407,-72.7093,"(44.0407, -72.7093)",52254,,4354,
IL,Illinois,05/01/2019,Y,U,Y,66071,,N/A,,66071,,32115,,10533,,42648,,1346562,,2818182,,44.2394,-114.5103,"(44.2394, -114.5103)",2558581,,259601,
ID,Idaho,05/01/2019,Y,U,Y,7417,,,,7417,,5369,,374,,5743,,195677,,273856,,42.0046,-93.214,"(42.0046, -93.214)",247939,,25917,
MT,Montana,05/01/2019,Y,U,Y,3864,,N/A,,3864,,3975,,340,,4315,,126462,,275834,,14.8058,145.5505,"(14.8058, 145.5505)",246269,,29565,
RI,Rhode Island,05/01/2019,Y,U,Y,1861,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1861,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2863,,367,,3230,,120639,,301912,,44.5672,-122.1269,"(44.5672, -122.1269)",270273,,31639,
TX,Texas,05/01/2019,N,U,Y,141944,,N/A,,141944,,89889,,13154,,103043,,3288623,,4180837,,33.8191,-80.9066,"(33.8191, -80.9066)",3605294,,575543,
DC,District of Columbia,05/01/2019,Y,U,Y,2605,Includes SBM data,1785,,4390,Includes Renewals and/or Redeterminations,3850,Includes Renewals and/or Redeterminations; Includes CHIP,,,3850,,,,254979,,41.5834,-72.7622,"(41.5834, -72.7622)",238231,,16748,
OR,Oregon,05/01/2019,Y,U,Y,12444,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12444,Does Not Include All Non-MAGI Applications,21176,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2208,,23384,Does Not Include All Non-MAGI Determinations Made At Application,417590,,986415,,40.3736,-82.7755,"(40.3736, -82.7755)",857377,,129038,
NY,New York,05/01/2019,Y,U,Y,,,780828,,780828,,122005,,10039,,132044,,2434118,,6112649,,34.8375,-106.2371,"(34.8375, -106.2371)",5527396,,585253,
MO,Missouri,05/01/2019,N,U,Y,20149,,N/A,,20149,,9257,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",365,Includes Renewals and/or Redeterminations,9622,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",550138,,874683,,45.7326,-93.9196,"(45.7326, -93.9196)",840902,,33781,
SC,South Carolina,05/01/2019,N,U,Y,23681,,N/A,,23681,,6361,Does not Include All Medicaid Determinations made at Applications,149,Does not Include All CHIP Determinations made at Applications,6510,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,661509,,1055008,,40.5773,-77.264,"(40.5773, -77.264)",963824,,91184,
GA,Georgia,05/01/2019,N,U,Y,44289,,N/A,,44289,,25190,,846,,26036,,1261054,,1837888,,27.8333,-81.717,"(27.8333, -81.717)",1624504,,213384,
LA,Louisiana,05/01/2019,Y,U,Y,30643,,N/A,,30643,,39910,,7894,,47804,,733868,,1539835,,37.669,-84.6514,"(37.669, -84.6514)",1404452,,135383,
NJ,New Jersey,05/01/2019,Y,U,Y,37000,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,37000,Does Not Include All Non-MAGI Applications,17816,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,6408,,24224,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,823103,,1726025,,41.1289,-98.2883,"(41.1289, -98.2883)",1505604,,220421,
ND,North Dakota,05/01/2019,Y,U,Y,2243,,N/A,,2243,,2475,,66,,2541,,43111,,92207,,46.9048,-110.3261,"(46.9048, -110.3261)",90121,,2086,
MI,Michigan,05/01/2019,Y,U,Y,56894,,N/A,,56894,,52945,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1875,,54820,,941439,Does Not Include All Full-Benefit Child Medicaid enrollees,2318205,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2256923,Does Not Include All Full-Benefit Medicaid enrollees,61282,
VA,Virginia,05/01/2019,Y,U,Y,30783,Includes Renewals and/or Redeterminations,N/A,,30783,Includes Renewals and/or Redeterminations,23600,Includes Renewals and/or Redeterminations,724,Includes Renewals and/or Redeterminations,24324,Includes Renewals and/or Redeterminations,729050,,1314268,,35.7449,-86.7489,"(35.7449, -86.7489)",1170077,,144191,
KY,Kentucky,05/01/2019,Y,U,Y,9198,,,,9198,,16157,,1647,,17804,,553269,,1309202,,38.5111,-96.8005,"(38.5111, -96.8005)",1220490,,88712,
DE,Delaware,05/01/2019,Y,U,Y,2733,,N/A,,2733,,4799,,696,,5495,,105634,,231596,,38.8964,-77.0262,"(38.8964, -77.0262)",220353,,11243,
AK,Alaska,05/01/2019,Y,U,Y,3107,Includes Renewals and/or Redeterminations,N/A,,3107,Includes Renewals and/or Redeterminations,2675,Includes Renewals and/or Redeterminations; Includes CHIP,113,,2788,Includes Renewals and/or Redeterminations,97003,,220384,,61.385,-152.2683,"(61.385, -152.2683)",204803,,15581,
NM,New Mexico,05/01/2019,Y,U,Y,12433,,N/A,,12433,,19970,,1695,,21665,,329529,Includes Limited-Benefit Enrollees,730986,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",694039,Includes Limited-Benefit Enrollees,36947,
CT,Connecticut,05/01/2019,Y,U,Y,5637,Includes Duplicates,11565,Includes Duplicates; Includes Renewals and/or Redeterminations,17202,Includes Duplicates,15116,Includes Renewals and/or Redeterminations,369,Includes Renewals and/or Redeterminations,15485,Includes Renewals and/or Redeterminations,336970,,862405,,39.0646,-105.3272,"(39.0646, -105.3272)",842612,,19793,
VT,Vermont,05/01/2019,Y,U,Y,2728,,1724,,4452,Includes Renewals and/or Redeterminations,4930,Includes Renewals and/or Redeterminations,126,,5056,,62394,,156055,,31.106,-97.6475,"(31.106, -97.6475)",151720,,4335,
OK,Oklahoma,05/01/2019,N,U,Y,38664,Includes Renewals and/or Redeterminations,N/A,,38664,Includes Renewals and/or Redeterminations,38784,Includes Renewals and/or Redeterminations,7672,,46456,Includes Renewals and/or Redeterminations,511811,,730110,,42.1497,-74.9384,"(42.1497, -74.9384)",608905,,121205,
MD,Maryland,05/01/2019,Y,U,Y,8161,,86707,Includes Renewals and/or Redeterminations,94868,Includes Renewals and/or Redeterminations,34253,Includes Renewals and/or Redeterminations,3463,Includes Renewals and/or Redeterminations,37716,Includes Renewals and/or Redeterminations,622512,,1323085,,42.2373,-71.5314,"(42.2373, -71.5314)",1169176,,153909,
NE,Nebraska,05/01/2019,N,U,Y,5980,,N/A,,5980,,6126,,887,,7013,,163695,,246014,,35.6411,-79.8431,"(35.6411, -79.8431)",212215,,33799,
CA,California,05/01/2019,Y,U,Y,164529,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,164529,,163835,Does Not Include All Medicaid Determinations Made At Application,12629,Does Not Include All CHIP Determinations Made At Application,176464,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4925847,,11798654,,33.7712,-111.3877,"(33.7712, -111.3877)",10488884,,1309770,
PA,Pennsylvania,05/01/2019,Y,U,Y,93066,Includes Renewals and/or Redeterminations,N/A,,93066,Includes Renewals and/or Redeterminations,86781,Includes Renewals and/or Redeterminations,10132,,96913,Includes Renewals and/or Redeterminations,1397638,,2965823,,35.5376,-96.9247,"(35.5376, -96.9247)",2782259,,183564,
IA,Iowa,05/01/2019,Y,U,Y,15061,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15061,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1187,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1187,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336469,,674047,,21.1098,-157.5311,"(21.1098, -157.5311)",600632,,73415,
NV,Nevada,05/01/2019,Y,U,Y,20683,Includes Renewals/Or redeterminations,N/A,,20683,Includes Renewals/Or redeterminations,12236,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",70,,12306,,301049,,632772,,40.314,-74.5089,"(40.314, -74.5089)",590829,,41943,
NH,New Hampshire,05/01/2019,Y,U,Y,7940,,N/A,,7940,,4752,,495,,5247,,89616,,179771,,47.5362,-99.793,"(47.5362, -99.793)",164925,,14846,
WI,Wisconsin,05/01/2019,N,U,Y,23781,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23781,Does Not Include All Applications for Limited-Benefit Programs,17775,"Count is of Households, Not Individuals",1092,,18867,,507620,,1040023,,37.768,-78.2057,"(37.768, -78.2057)",971083,,68940,
