State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
N. Mariana Islands,15472,,,,2018,8,2017,9,
Ohio,3068416,686173,647819,38354,2018,8,2017,7,
District Of Columbia,259769,109190,68227,40963,2018,8,2017,7,
Virginia,1031514,,,,2018,8,2017,8,
Arizona,1920684,426429,111174,315255,2018,8,2017,9,
Mississippi,708992,,,,2018,8,2017,7,
Utah,302453,,,,2018,8,2017,8,
Indiana,1338954,446003,319995,126008,2018,8,2017,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
New Jersey,1622457,536638,536638,0,2018,8,2017,9,
Ohio,3051717,682266,644977,37289,2018,8,2017,8,
Kansas,378765,,,,2018,8,2017,7,
South Carolina,1213907,,,,2018,8,2017,9,
Arizona,1939912,430795,112408,318387,2018,8,2017,7,
Missouri,978261,,,,2018,8,2017,7,
Iowa,590334,150346,138607,11739,2018,8,2017,8,
Nevada,592480,211736,211736,0,2018,8,2017,8,
Nevada,589663,211060,211060,0,2018,8,2017,7,
West Virginia,552013,173290,173290,0,2018,8,2017,8,
Colorado,1361174,453352,451018,2334,2018,8,2017,9,
Maryland,1216695,306660,306660,0,2018,8,2017,9,
California,11371571,3804208,3804208,0,2018,8,2017,7,
Montana,242921,85212,85212,0,2018,8,2017,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Georgia,1868445,,,,2018,8,2017,7,
Oregon,956498,453821,378452,75369,2018,8,2017,9,
Delaware,209855,61481,10438,51043,2018,8,2017,7,
Kentucky,1345038,478066,478066,0,2018,8,2017,8,
New Mexico,881085,257598,257598,0,2018,8,2017,8,
Virginia,1028055,,,,2018,8,2017,7,
Massachusetts,1797341,376511,0,376511,2018,8,2017,7,
Delaware,209273,61353,10370,50983,2018,8,2017,9,
Texas,4331903,,,,2018,8,2017,9,
Alaska,184965,36978,36870,108,2018,8,2017,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Tennessee,1584490,,,,2018,8,2017,9,
New York,6108223,3470259,522367,2947892,2018,8,2017,8,
North Carolina,2076727,,,,2018,8,2017,8,
Colorado,1360760,448653,446287,2366,2018,8,2017,7,
Iowa,588825,149387,137631,11756,2018,8,2017,9,
Arkansas,937439,308690,308376,314,2018,8,2017,9,
North Carolina,2082333,,,,2018,8,2017,7,
Idaho,319955,,,,2018,8,2017,8,
California,11221350,3775403,3775403,0,2018,8,2017,9,
District Of Columbia,260614,109149,68120,41029,2018,8,2017,9,
Virgin Islands,17270,3857,,3857,2018,8,2017,7,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Kentucky,1344312,476994,476994,0,2018,8,2017,7,
Wyoming,60749,,,,2018,8,2017,8,
North Dakota *,92363,20443,19375,1068,2018,8,2017,8,Awaiting state reporting/enrollment reasonableness review in progress
Utah,299107,,,,2018,8,2017,7,
Georgia,1853535,,,,2018,8,2017,7,
Connecticut,891845,231160,198411,32749,2018,8,2017,7,
West Virginia,549511,171817,171817,0,2018,8,2017,9,
Delaware,208758,61231,10464,50767,2018,8,2017,7,
Rhode Island,307315,67717,67717,0,2018,8,2017,9,
Guam,36167,3801,,3801,2018,8,2017,7,
New Hampshire,191668,55437,55339,98,2018,8,2017,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Guam,35948,3805,,3805,2018,8,2017,8,
Washington,1819627,596727,583163,13564,2018,8,2017,7,
Mississippi,709894,,,,2018,8,2017,8,
South Dakota,105967,,,,2018,8,2017,9,
Oklahoma,673578,,,,2018,8,2017,8,
Idaho,320119,,,,2018,8,2017,9,
New York,6099728,3454112,523477,2930635,2018,8,2017,9,
Guam,35559,3752,,3752,2018,8,2017,9,
Mississippi,706690,,,,2018,8,2017,9,
New Hampshire,190249,54862,54755,107,2018,8,2017,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Arizona,1932468,430199,112355,317844,2018,8,2017,7,
South Dakota,106439,,,,2018,8,2017,8,
Connecticut,886380,230514,195934,34580,2018,8,2017,9,
Indiana,1355100,447771,322240,125531,2018,8,2017,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Maine,259091,,,,2018,8,2017,9,
New Jersey,1683623,562011,562011,0,2018,8,2017,7,
Minnesota,1063182,201718,200828,890,2018,8,2017,9,
Pennsylvania,2704974,783394,742901,40493,2018,8,2017,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1579967,,,,2018,8,2017,8,
New Mexico,894255,262052,262052,0,2018,8,2017,7,
Nebraska,259749,,,,2018,8,2017,8,
Wyoming,60658,,,,2018,8,2017,9,
Massachusetts,1741248,343680,0,343680,2018,8,2017,9,
N. Mariana Islands,15472,,,,2018,8,2017,8,
North Dakota,92319,20347,19287,1060,2018,8,2017,9,Awaiting state reporting/enrollment reasonableness review in progress
Alabama,1021681,,,,2018,8,2017,7,
North Dakota,92010,20334,19289,1045,2018,8,2017,7,Awaiting state reporting/enrollment reasonableness review in progress
New York,6112011,3506062,523962,2982100,2018,8,2017,7,
Oregon,1001557,482572,402847,79725,2018,8,2017,7,
Illinois,2805169,659901,618912,40989,2018,8,2017,9,
Arkansas,939770,312616,312282,334,2018,8,2017,7,
California,11357535,3809873,3809873,0,2018,8,2017,7,
Georgia,1873182,,,,2018,8,2017,9,
Kentucky,1347792,479567,479567,0,2018,8,2017,9,
Florida,4013266,,,,2018,8,2017,7,
Montana,243494,84765,84765,0,2018,8,2017,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
American Samoa,41214,,,,2018,8,2017,7,
North Carolina,2050230,,,,2018,8,2017,9,
Alabama,1019631,,,,2018,8,2017,7,
Vermont,179602,58702,0,58702,2018,8,2017,8,
District Of Columbia,261140,109687,68594,41093,2018,8,2017,7,
Texas,4314833,,,,2018,8,2017,8,
Wisconsin,1184288,,,,2018,8,2017,9,
Virgin Islands,17552,3996,,3996,2018,8,2017,9,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
New Mexico,854443,249748,249748,0,2018,8,2017,9,
South Carolina,1230287,,,,2018,8,2017,8,
Florida,4056210,,,,2018,8,2017,7,
Maine,258075,,,,2018,8,2017,8,
Maine,258634,,,,2018,8,2017,7,
Colorado,1366880,453135,450774,2361,2018,8,2017,7,
Montana,242116,83284,83284,0,2018,8,2017,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Louisiana,1624724,445598,445598,0,2018,8,2017,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Virgin Islands,17594,3983,,3983,2018,8,2017,8,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Pennsylvania,2847214,786549,745383,41166,2018,8,2017,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Minnesota,1089231,206738,205910,828,2018,8,2017,7,
Connecticut,892461,229718,199168,30550,2018,8,2017,7,
