State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Massachusetts,"1,442,299","334,027",0,"334,027",2020,2,2019,4,"Massachusetts
(42.151077, -71.481104)",
Maryland,"1,229,390","310,031","310,031",0,2020,2,2019,6,"Maryland
(38.946466, -76.687282)",
California,"12,693,315","3,768,859","3,762,176","6,683",2020,2,2019,4,"California
(37.211164, -119.662127)",
Georgia,"1,962,735",,,,2020,2,2019,6,"Georgia
(32.638481, -83.426574)",
Michigan,"2,385,506","671,648","625,194","46,454",2020,2,2019,6,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Florida,"3,813,445",,,,2020,2,2019,4,"Florida
(28.260731, -82.420978)",
Dist. Of Col.,"260,350","107,478","66,313","41,165",2020,2,2019,5,,
Virgin Islands,"28,835","13,376",,"13,376",2020,2,2019,5,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
North Dakota,"91,090","20,369","19,419",950,2020,2,2019,4,"North Dakota
(47.446305, -100.46931)",
Pennsylvania,"2,859,247","771,932","732,808","39,124",2020,2,2019,5,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Wisconsin,"1,182,357",,,,2020,2,2019,6,"Wisconsin
(44.639954, -89.732969)",
Rhode Island,"301,535","66,641","66,641",0,2020,2,2019,4,"Rhode Island
(41.572574, -71.534637)",
Puerto Rico,"1,240,935","424,284",,"424,284",2020,2,2019,4,"Puerto Rico
(18.215692, -66.414655)",
Rhode Island,"300,970","66,686","66,686",0,2020,2,2019,6,"Rhode Island
(41.572574, -71.534637)",
Illinois,"2,566,110","655,276","547,918","107,358",2020,2,2019,6,"Illinois
(40.124144, -89.148632)",
California,"12,611,814","3,741,920","3,732,198","9,722",2020,2,2019,5,"California
(37.211164, -119.662127)",
Kansas,"350,174",,,,2020,2,2019,5,"Kansas
(38.484729, -98.38018)",
North Dakota,"89,590","19,908","18,981",927,2020,2,2019,5,"North Dakota
(47.446305, -100.46931)",
Texas,"4,152,831",,,,2020,2,2019,4,"Texas
(31.447238, -99.317341)",
Nebraska,"245,121",,,,2020,2,2019,4,"Nebraska
(41.527099, -99.810595)",
Texas,"4,126,343",,,,2020,2,2019,6,"Texas
(31.447238, -99.317341)",
Amer. Samoa,"37,829",,,,2020,2,2019,4,,
Illinois,"2,611,653","669,227","561,633","107,594",2020,2,2019,4,"Illinois
(40.124144, -89.148632)",
Arizona,"1,861,477","423,482","105,668","317,814",2020,2,2019,6,"Arizona
(34.293239, -111.664616)",
Maryland,"1,227,887","310,074","310,074",0,2020,2,2019,5,"Maryland
(38.946466, -76.687282)",
Iowa,"605,338","172,015","157,117","14,898",2020,2,2019,5,"Iowa
(42.074659, -93.500061)",
Vermont,"168,055","55,333",0,"55,333",2020,2,2019,5,"Vermont
(44.075252, -72.662695)",
Kansas,"341,484",,,,2020,2,2019,6,"Kansas
(38.484729, -98.38018)",
New York,"6,067,467","1,881,383","301,405","1,579,978",2020,2,2019,6,"New York
(42.921241, -75.59655)",
South Carolina,"1,260,731",,,,2020,2,2019,5,"South Carolina
(33.878572, -80.864614)",
New Mexico,"834,204","258,061","258,061",0,2020,2,2019,4,"New Mexico
(34.421369, -106.108388)",
Montana,"252,830","95,805","95,805",0,2020,2,2019,6,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Colorado,"1,235,646","378,962","371,819","7,143",2020,2,2019,4,"Colorado
(38.998552, -105.547832)",
Georgia,"1,960,778",,,,2020,2,2019,4,"Georgia
(32.638481, -83.426574)",
Massachusetts,"1,455,990","336,735",0,"336,735",2020,2,2019,6,"Massachusetts
(42.151077, -71.481104)",
Wyoming,"55,709",,,,2020,2,2019,4,"Wyoming
(42.999627, -107.55145)",
Wisconsin,"1,183,194",,,,2020,2,2019,5,"Wisconsin
(44.639954, -89.732969)",
Wisconsin,"1,183,431",,,,2020,2,2019,4,"Wisconsin
(44.639954, -89.732969)",
Guam,"35,692","4,193",,"4,193",2020,2,2019,5,"Guam
(13.3532, 144.653198)",
N. Mariana Islands,"16,446",,,,2020,2,2019,5,,
Virgin Islands,"29,033","13,514",,"13,514",2020,2,2019,6,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
West Virginia,"522,211","161,875","161,875",0,2020,2,2019,5,"West Virginia
(38.642579, -80.613729)",
Ohio,"2,828,477","555,348","555,079",269,2020,2,2019,4,"Ohio
(40.415534, -82.70936)",
Wyoming,"54,259",,,,2020,2,2019,6,"Wyoming
(42.999627, -107.55145)",
Oregon,"963,477","464,391","382,716","81,675",2020,2,2019,5,"Oregon
(43.940449, -120.605279)",
Oklahoma,"639,764",,,,2020,2,2019,4,"Oklahoma
(35.583449, -97.508297)",
Michigan,"2,419,259","690,711","639,880","50,831",2020,2,2019,4,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Connecticut,"950,722","266,719","242,640","24,079",2020,2,2019,4,"Connecticut
(41.575155, -72.738288)",
Virgin Islands,"28,626","13,248",,"13,248",2020,2,2019,4,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Minnesota,"1,060,628","190,089","189,186",903,2020,2,2019,5,"Minnesota
(46.349153, -94.198308)",
