State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
VA,Virginia,03/01/2020,Y,U,Y,30290,Includes Renewals and/or Redeterminations,N/A,,30290,Includes Renewals and/or Redeterminations,35358,Includes Renewals and/or Redeterminations,1264,Includes Renewals and/or Redeterminations,36622,Includes Renewals and/or Redeterminations,758093,,1435647,,35.7449,-86.7489,"(35.7449, -86.7489)",1278878,,156769,
WV,West Virginia,03/01/2020,Y,U,Y,18709,,N/A,,18709,,11896,,756,,12652,,212125,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),507009,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",473538,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33471,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
LA,Louisiana,03/01/2020,Y,U,Y,34502,,N/A,,34502,,29260,,2010,,31270,,697298,,1511000,,37.669,-84.6514,"(37.669, -84.6514)",1387556,,123444,
MT,Montana,03/01/2020,Y,U,Y,4749,,N/A,,4749,,4467,,590,,5057,,113481,,250033,,14.8058,145.5505,"(14.8058, 145.5505)",224403,,25630,
MD,Maryland,03/01/2020,Y,U,Y,5461,,83496,Includes Renewals and/or Redeterminations,88957,Includes Renewals and/or Redeterminations,48132,Includes Renewals and/or Redeterminations,5133,Includes Renewals and/or Redeterminations,53265,Includes Renewals and/or Redeterminations,622930,,1335833,,42.2373,-71.5314,"(42.2373, -71.5314)",1194624,,141209,
FL,Florida,03/01/2020,N,U,Y,389954,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,389954,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,162714,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21517,,184231,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2411354,,3605857,,39.3498,-75.5148,"(39.3498, -75.5148)",3361994,,243863,
MO,Missouri,03/01/2020,N,U,Y,20995,Includes  Renewals and/or Redeterminations,N/A,,20995,Includes  Renewals and/or Redeterminations,13383,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",969,Includes Renewals and/or Redeterminations,14352,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",544868,,876601,,45.7326,-93.9196,"(45.7326, -93.9196)",838066,,38535,
CT,Connecticut,03/01/2020,Y,U,Y,4893,,15475,,20368,,17480,,432,,17912,,331375,,845434,,39.0646,-105.3272,"(39.0646, -105.3272)",825094,,20340,
VT,Vermont,03/01/2020,Y,U,Y,2755,,2656,,5411,Includes Renewals and/or Redeterminations,5528,Includes Renewals and/or Redeterminations,209,,5737,,61313,,153778,,31.106,-97.6475,"(31.106, -97.6475)",149066,,4712,
SC,South Carolina,03/01/2020,N,U,Y,24204,,N/A,,24204,,7516,Does not Include All Medicaid Determinations made at Applications,229,Does not Include All CHIP Determinations made at Applications,7745,Does not Include All Medicaid Determinations made at Applications; Does not Include all CHIP Determinations made at Application,645885,,1032851,,40.5773,-77.264,"(40.5773, -77.264)",938885,,93966,
GA,Georgia,03/01/2020,N,U,Y,51442,,N/A,,51442,,27234,,940,,28174,,1285501,,1853679,,27.8333,-81.717,"(27.8333, -81.717)",1637768,,215911,
DC,District of Columbia,03/01/2020,Y,U,Y,3625,Includes SBM data,2595,,6220,Includes Renewals and/or Redeterminations,4200,Includes Renewals and/or Redeterminations; Includes CHIP,,,4200,,,,242883,,41.5834,-72.7622,"(41.5834, -72.7622)",225571,,17312,
UT,Utah,03/01/2020,N,U,Y,21128,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,21128,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",43099,Includes CHIP,,,43099,,184418,,316364,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",275986,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,40378,
AZ,Arizona,03/01/2020,Y,U,Y,101256,,N/A,,101256,,,,,,,,,,1746744,,14.2417,-170.7197,"(14.2417, -170.7197)",1645851,,100893,
CA,California,03/01/2020,Y,U,Y,165906,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,165906,,172135,Does Not Include All Medicaid Determinations Made At Application,17941,Does Not Include All CHIP Determinations Made At Application,190076,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4793477,,11576877,,33.7712,-111.3877,"(33.7712, -111.3877)",10263185,,1313692,
ME,Maine,03/01/2020,Y,U,Y,6880,,N/A,,6880,,13151,,874,,14025,,103431,,224106,,39.0724,-76.7902,"(39.0724, -76.7902)",211945,,12161,
PA,Pennsylvania,03/01/2020,Y,U,Y,99102,Includes Renewals and/or Redeterminations,N/A,,99102,Includes Renewals and/or Redeterminations,95525,Includes Renewals and/or Redeterminations,14396,,109921,Includes Renewals and/or Redeterminations,1398120,,2958044,,35.5376,-96.9247,"(35.5376, -96.9247)",2761617,,196427,
MN,Minnesota,03/01/2020,Y,U,Y,5835,,25033,,30868,,20712,,56,,20768,,531322,,1047688,,43.3504,-84.5603,"(43.3504, -84.5603)",1046218,,1470,
DE,Delaware,03/01/2020,Y,U,Y,4071,,N/A,,4071,,4756,,799,,5555,,104498,,229697,,38.8964,-77.0262,"(38.8964, -77.0262)",217941,,11756,
WY,Wyoming,03/01/2020,N,U,Y,1442,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1442,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,868,,38,,906,,37193,,56111,,44.0407,-72.7093,"(44.0407, -72.7093)",51698,,4413,
