State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NJ,New Jersey,01/01/2019,Y,U,Y,54916,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,54916,Does Not Include All Non-MAGI Applications,18347,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application,7583,,25930,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,821821,,1730812,,41.1289,-98.2883,"(41.1289, -98.2883)",1518570,,212242,
ME,Maine,01/01/2019,Y,U,Y,9522,,N/A,,9522,,9420,,531,,9951,,105654,,226429,,39.0724,-76.7902,"(39.0724, -76.7902)",215148,,11281,
CA,California,01/01/2019,Y,U,Y,236381,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,236381,,166680,Does Not Include All Medicaid Determinations Made At Application,15837,Does Not Include All CHIP Determinations Made At Application,182517,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4972495,,11914394,,33.7712,-111.3877,"(33.7712, -111.3877)",10603177,,1311217,
VA,Virginia,01/01/2019,Y,U,Y,38235,Includes Renewals and/or Redeterminations,N/A,,38235,Includes Renewals and/or Redeterminations,29512,Includes Renewals and/or Redeterminations,856,Includes Renewals and/or Redeterminations,30368,Includes Renewals and/or Redeterminations,712386,,1237262,,35.7449,-86.7489,"(35.7449, -86.7489)",1095021,,142241,
MT,Montana,01/01/2019,Y,U,Y,3900,,N/A,,3900,,4523,,571,,5094,,128161,,280455,,14.8058,145.5505,"(14.8058, 145.5505)",251146,,29309,
KY,Kentucky,01/01/2019,Y,U,Y,9908,,,,9908,,21906,,2118,,24024,,554209,,1314498,,38.5111,-96.8005,"(38.5111, -96.8005)",1221140,,93358,
DC,District of Columbia,01/01/2019,Y,U,Y,1809,Includes SBM data,2036,,3845,Includes Renewals and/or Redeterminations,3916,Includes Renewals and/or Redeterminations; Includes CHIP,,,3916,,,,253744,,41.5834,-72.7622,"(41.5834, -72.7622)",237337,,16407,
WI,Wisconsin,01/01/2019,N,U,Y,24145,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24145,Does Not Include All Applications for Limited-Benefit Programs,20365,"Count is of Households, Not Individuals",1589,,21954,,501013,,1021451,,37.768,-78.2057,"(37.768, -78.2057)",950778,,70673,
AZ,Arizona,01/01/2019,Y,U,Y,112351,,N/A,,112351,,,,,,,,,,1701450,,14.2417,-170.7197,"(14.2417, -170.7197)",1597610,,103840,
TN,Tennessee,01/01/2019,N,U,Y,,,N/A,,,,,,,,,,,,1401651,,41.6772,-71.5101,"(41.6772, -71.5101)",1347322,,54329,
